,City,Arcade,Venue_ID,Venue_Name,Venue_Address
0,"Atlanta, GA",Arcade 160 Studios,4dc014671e72dd48b20019a6,MW Law Atlanta,621 North Ave
1,"Atlanta, GA",Arcade 160 Studios,57bde049498e3cc1f7d51ae2,North Creative,"621 North Ave NE, Suite C170"
2,"Atlanta, GA",Arcade 160 Studios,52614d2e11d2226cbe1a8e3b,Levine City Real Estate,621 North Ave NE Ste C50
3,"Atlanta, GA",Arcade 160 Studios,4a7cb042f964a52041ed1fe3,North Ave Post,621 North Ave
4,"Atlanta, GA",Arcade 160 Studios,4b548145f964a520bebd27e3,Keller Williams,621 North Ave NE Ste C50
5,"Atlanta, GA",Arcade 160 Studios,4d38948f6eef5481d4ee4148,"McManamy, McLeod, Heller",621 North Ave NE
6,"Atlanta, GA",Arcade 160 Studios,4c00162dc30a2d7f54fc111d,Southern Dairies,No Address
7,"Atlanta, GA",Arcade 160 Studios,4c40b53da5c5ef3b2710b06f,Cardlytics,621 North Ave
8,"Atlanta, GA",Arcade 160 Studios,5d3f7c6a91896e0008d83e70,The Lola,621 North Ave NE Ste D100
9,"Atlanta, GA",Arcade 160 Studios,5a0124f393bd634fafe63468,Deep End,621 North Ave NE Ste A100
10,"Atlanta, GA",Arcade 160 Studios,581a233996ac60560ea72693,smith dalia architects,No Address
11,"Atlanta, GA",Arcade 160 Studios,581f77788d169071e54b6990,Poseman Books,No Address
12,"Atlanta, GA",Arcade 160 Studios,4c9ac088a004a1cd7a5a4b6e,AMLI Old 4th Ward,525 Glen Iris Dr NE
13,"Atlanta, GA",Arcade 160 Studios,58b9a59c6cda1c41bc39ca0c,Rudy's Barbershop,650 North Ave NE #202
14,"Atlanta, GA",Arcade 160 Studios,5ceaedea06fb60002c22d8f9,The Tasting Room At City Winery,No Address
15,"Atlanta, GA",Arcade 160 Studios,4fe220fae4b02702d7d533c0,Dancing Goats Coffee Bar,650 North Ave NE
16,"Atlanta, GA",Arcade 160 Studios,60bfad5bef29715bc3146fb6,Sweetgreen,650 North Ave NE
17,"Atlanta, GA",Arcade 160 Studios,5d9d1ce9b5059b000858143e,Novel O4W,525 North Avenue Northeast
18,"Atlanta, GA",Arcade 160 Studios,50afcfd0e4b0dc886f2a631d,clark mountain,No Address
19,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,5259e00211d22b1cf2b975f3,1116 Piedmont Rd,1116 Piedmont Ave NE
20,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,4ff4801de4b02ca33b11cd96,Ansley Above the Park Poolside,No Address
21,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,55f51478498e9b20fa63ec44,Ansley Above the Park,1130 Piedmont Ave NE
22,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,4b5d1bf3f964a520045329e3,Parc Vue,275 13th St NE
23,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,4db88de81e7206c23d0ac8ac,The Nook on Piedmont Park,1144 Piedmont Ave NE
24,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,5d7e8c49b4fc9c00080e8629,Music Midtown Vip Lounge,No Address
25,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,4cdaed585aeda1cd84efb911,"Piedmont Park ""Noguchi Playscapes"" Playground",Piedmont Park
26,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,6096961f10f0fb765005b9e9,Tic Tac Coffee,No Address
27,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,5ab6647ff79faa7136006df4,Nectar,No Address
28,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,4a3019def964a5201b991fe3,Skate Escape,1086 Piedmont Ave NE
29,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,51dca4ba498ebcc6f68f1c81,The Last Meter - Olympic Runners Sculpture,No Address
30,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,56d1f716498e3a0cba4b9756,Blue Donkey,Piedmont Park
31,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,51fafe0d498edda1d4a48da7,12th Street Entrance,No Address
32,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,5727ed7d498ef4035f29d8a4,14th Street Gate Entrance,No Address
33,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,5d55c42d4a16c2000832cce9,Yoo On The Park Gym,No Address
34,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,5be8ba243183940025f9b7fc,Original Eclectic Barbers,244 14th St NE
35,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,4daa1bb88154abafc2a5b367,Piedmont Park Visitor Center,298 12th St NE
36,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,4bca2d353740b71336406065,Shake at the Lake,Piedmont Park
37,"Atlanta, GA",Atlanta Arcade & Gaming Rentals,415b4c80f964a520441d1fe3,Piedmont Park,400 Park Dr NE
38,"Atlanta, GA",Atlanta Arcade Rentals,49f39a6ef964a520be6a1fe3,Richards Variety Store,931 Monroe Dr NE
39,"Atlanta, GA",Atlanta Arcade Rentals,53e3d214498eab537ce955d9,Ah-Ma's Taiwanese Kitchen,931 Monroe Dr NE Ste A108
40,"Atlanta, GA",Atlanta Arcade Rentals,5995e88828374e303ba429d5,PokeCity Midtown,931 Monroe Dr NE Ste A101
41,"Atlanta, GA",Atlanta Arcade Rentals,5131599de4b008f25f1901ae,Gatsby's,931 Monroe Dr NE Ste B111
42,"Atlanta, GA",Atlanta Arcade Rentals,49ef56a2f964a520a2681fe3,MetroFresh,931 Monroe Dr NE Ste A106
43,"Atlanta, GA",Atlanta Arcade Rentals,4a8f6104f964a5201a1520e3,Midtown Promenade,931 Monroe Dr NE
