Category_Name,Venue_Distance,Category_ID,Venue_Rating
Escape Room,11,5f2c2834b6d05514c704451e,Not Rated
Poke Place,20,5bae9231bedf3950379f89d4,Not Rated
Cooking School,49,58daa1558bbb0b01f18ec200,Not Rated
Child Care Service,61,5744ccdfe4b0c0459246b4c7,Not Rated
Public Bathroom,33,5744ccdfe4b0c0459246b4c4,Not Rated
Physical Therapist,211,5744ccdfe4b0c0459246b4af,Not Rated
Bike Trail,531,56aa371be4b08b9a8d57355e,Not Rated
Vape Store,78,56aa371be4b08b9a8d57355c,Not Rated
Fountain,49,56aa371be4b08b9a8d573547,Not Rated
Airport Service,3141,56aa371be4b08b9a8d57352f,Not Rated
Airport Service,659,56aa371be4b08b9a8d57352f,Not Rated
Business Center,562,56aa371be4b08b9a8d573517,Not Rated
Food Stand,85,56aa371be4b08b9a8d57350b,Not Rated
Amphitheater,86,56aa371be4b08b9a8d5734db,Not Rated
Photography Studio,121,554a5e17498efabeda6cc559,Not Rated
Photography Studio,10,554a5e17498efabeda6cc559,Not Rated
Transportation Service,470,54541b70498ea6ccd0204bff,Not Rated
Health & Beauty Service,203,54541900498ea6ccd0202697,Not Rated
Health & Beauty Service,37,54541900498ea6ccd0202697,Not Rated
Event Service,10,5454152e498ef71e2b9132c6,Not Rated
Construction & Landscaping,1508,5454144b498ec1f095bff2f2,Not Rated
Business Service,10,5453de49498eade8af355881,Not Rated
Business Service,2,5453de49498eade8af355881,Not Rated
Trailer Park,639,52f2ab2ebcbc57f1066b8b55,Not Rated
Bus Stop,479,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,346,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,291,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,163,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,99,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,99,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,89,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,50,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,37,52f2ab2ebcbc57f1066b8b4f,Not Rated
Bus Stop,24,52f2ab2ebcbc57f1066b8b4f,Not Rated
Toll Plaza,1076,52f2ab2ebcbc57f1066b8b4e,Not Rated
Tunnel,2169,52f2ab2ebcbc57f1066b8b4a,Not Rated
Supermarket,177,52f2ab2ebcbc57f1066b8b46,Not Rated
Supermarket,30,52f2ab2ebcbc57f1066b8b46,Not Rated
Organic Grocery,213,52f2ab2ebcbc57f1066b8b45,Not Rated
Big Box Store,91,52f2ab2ebcbc57f1066b8b42,Not Rated
Massage Studio,23,52f2ab2ebcbc57f1066b8b3c,Not Rated
Massage Studio,15,52f2ab2ebcbc57f1066b8b3c,Not Rated
Shoe Repair,32,52f2ab2ebcbc57f1066b8b39,Not Rated
Recording Studio,15,52f2ab2ebcbc57f1066b8b37,Not Rated
IT Services,2349,52f2ab2ebcbc57f1066b8b36,Not Rated
Laundromat,333,52f2ab2ebcbc57f1066b8b33,Not Rated
Laundromat,174,52f2ab2ebcbc57f1066b8b33,Not Rated
Laundromat,168,52f2ab2ebcbc57f1066b8b33,Not Rated
Used Bookstore,32,52f2ab2ebcbc57f1066b8b30,Not Rated
Print Shop,431,52f2ab2ebcbc57f1066b8b28,Not Rated
Print Shop,64,52f2ab2ebcbc57f1066b8b28,Not Rated
Shipping Store,62,52f2ab2ebcbc57f1066b8b1f,Not Rated
Shipping Store,20,52f2ab2ebcbc57f1066b8b1f,Not Rated
Dry Cleaner,1270,52f2ab2ebcbc57f1066b8b1d,Not Rated
Fruit & Vegetable Store,32,52f2ab2ebcbc57f1066b8b1c,Not Rated
Fishing Store,76,52f2ab2ebcbc57f1066b8b16,Not Rated
Acupuncturist,138,52e81612bcbc57f1066b7a3b,Not Rated
Mental Health Office,49,52e81612bcbc57f1066b7a39,Not Rated
Mental Health Office,19,52e81612bcbc57f1066b7a39,Not Rated
Warehouse,1231,52e81612bcbc57f1066b7a36,Not Rated
Warehouse,1018,52e81612bcbc57f1066b7a36,Not Rated
Club House,473,52e81612bcbc57f1066b7a35,Not Rated
Community Center,1451,52e81612bcbc57f1066b7a34,Not Rated
Recreation Center,1399,52e81612bcbc57f1066b7a26,Not Rated
Recreation Center,1008,52e81612bcbc57f1066b7a26,Not Rated
Pedestrian Plaza,133,52e81612bcbc57f1066b7a25,Not Rated
Pedestrian Plaza,107,52e81612bcbc57f1066b7a25,Not Rated
Pedestrian Plaza,37,52e81612bcbc57f1066b7a25,Not Rated
Gun Range,968,52e81612bcbc57f1066b7a11,Not Rated
Bubble Tea Shop,237,52e81612bcbc57f1066b7a0c,Not Rated
Bubble Tea Shop,224,52e81612bcbc57f1066b7a0c,Not Rated
Bubble Tea Shop,206,52e81612bcbc57f1066b7a0c,Not Rated
Bubble Tea Shop,21,52e81612bcbc57f1066b7a0c,Not Rated
Kosher Restaurant,100,52e81612bcbc57f1066b79fc,Not Rated
Creperie,56,52e81612bcbc57f1066b79f2,Not Rated
Creperie,49,52e81612bcbc57f1066b79f2,Not Rated
Creperie,13,52e81612bcbc57f1066b79f2,Not Rated
Outdoor Sculpture,59,52e81612bcbc57f1066b79ed,Not Rated
Outdoor Sculpture,49,52e81612bcbc57f1066b79ed,Not Rated
Discount Store,764,52dea92d3cf9994f4e043dbb,Not Rated
Discount Store,132,52dea92d3cf9994f4e043dbb,Not Rated
Discount Store,99,52dea92d3cf9994f4e043dbb,Not Rated
Discount Store,45,52dea92d3cf9994f4e043dbb,Not Rated
Marijuana Dispensary,698,52c71aaf3cf9994f4e043d17,Not Rated
Szechuan Restaurant,29,52af3b773cf9994f4e043c03,Not Rated
Szechuan Restaurant,26,52af3b773cf9994f4e043c03,Not Rated
Cantonese Restaurant,188,52af3a7c3cf9994f4e043bed,Not Rated
Theme Park Ride / Attraction,15768,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,241,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,200,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,189,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,163,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,132,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,121,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,110,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,81,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,75,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,66,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,50,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,45,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,41,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,37,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,36,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,36,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,33,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,29,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,22,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,21,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,19,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,18,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,16,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,16,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,9,5109983191d435c0d71c2bb1,Not Rated
Theme Park Ride / Attraction,7,5109983191d435c0d71c2bb1,Not Rated
Market,14,50be8ee891d4fa8dcc7199a7,Not Rated
Public Art,17,507c8c4091d498d9fc8c67a9,Not Rated
Non-Profit,501,50328a8e91d4c4b30a586d6c,Not Rated
Pet Service,474,5032897c91d4c4b30a586d69,Not Rated
Assisted Living,1251,5032891291d4c4b30a586d68,Not Rated
Real Estate Office,23,5032885091d4c4b30a586d66,Not Rated
Real Estate Office,20,5032885091d4c4b30a586d66,Not Rated
Financial or Legal Service,56,503287a291d4c4b30a586d65,Not Rated
Financial or Legal Service,12,503287a291d4c4b30a586d65,Not Rated
Brewery,443,50327c8591d4c4b30a586d5d,Not Rated
Tailor Shop,31,5032781d91d4c4b30a586d5b,Not Rated
Tailor Shop,10,5032781d91d4c4b30a586d5b,Not Rated
Well,5,4fbc1be21983fc883593e321,Not Rated
Funeral Home,59,4f4534884b9074f6e4fb0174,Not Rated
Elementary School,769,4f4533804b9074f6e4fb0105,Not Rated
Elementary School,732,4f4533804b9074f6e4fb0105,Not Rated
Elementary School,157,4f4533804b9074f6e4fb0105,Not Rated
