,City,Arcade,Venue_ID,Venue_Name,Venue_Address
0,"Seattle, WA",4518 Arcade,5e23b504daee0b0008f60baa,Sugar+Spoon Cookie Dough,No Address
1,"Seattle, WA",4518 Arcade,4b58fe5ff964a5205e7728e3,Deep Roots Tattoo & Body Piercing,4517 University Way NE
2,"Seattle, WA",4518 Arcade,4ef5323b77c8e9126478ff6f,U:DON Fresh Japanese Noodle Station,4515 University Way NE
3,"Seattle, WA",4518 Arcade,5d3cad7742d74c0008eb3ea9,DL B.B.Q.,4520 the ave
4,"Seattle, WA",4518 Arcade,5a5f9be231ac6c6dbfc68220,Just Burgers,4510 University Way NE
5,"Seattle, WA",4518 Arcade,5abb2319b040560b822d9633,Taste of Xi'an,4523 University Way NE
6,"Seattle, WA",4518 Arcade,5f0e45adc5d2fb4660d1b12e,Don't Yell At Me 不要對我尖叫,4511 University Way NE
7,"Seattle, WA",4518 Arcade,4c37a5ae93db0f47db2f2092,Metro Bus Stop #9584,University Way NE & NE 45th St
8,"Seattle, WA",4518 Arcade,435c2400f964a5200a291fe3,Yunnie Bubble Tea,4511 University Way NE
9,"Seattle, WA",4518 Arcade,59c14ab61ffed75cd77ec327,Chi Mac,4525 University Way NE
10,"Seattle, WA",4518 Arcade,479e03e7f964a520724d1fe3,Oasis Tea Zone,4524 University Way NE
11,"Seattle, WA",4518 Arcade,5c538e626bdee6002cdb65b8,LE Mart,4514 University Way NE
12,"Seattle, WA",4518 Arcade,4a41a1bff964a5207ca51fe3,BBQ Chicken,4525 University Way NE
13,"Seattle, WA",4518 Arcade,5da7ddc48b13530008a70888,Panda Noodle Bar,No Address
14,"Seattle, WA",4518 Arcade,4f08ad56e4b0aa2dc6a036b9,Tea Republik,4527 University Way NE
15,"Seattle, WA",4518 Arcade,4b91db9ff964a520f9db33e3,Pita Pit,4515 University Way NE
16,"Seattle, WA",4518 Arcade,5d479b19816c15000897f14c,Buerjia Chinese Sauerkraut Fish,4509 University Way NE
