NPU,Neighborhood,hood_longitude,hood_latitude
A,Chastain Park,-84.3910383,33.8712146
A,Kingswood,-84.405006,33.832115
A,Margaret Mitchell,-84.38461443979591,33.781410050000005
A,Mt. Paran Parkway,-84.435792,33.867538
A,Mt. Paran/Northside,No Data Found,No Data Found
A,Paces,-84.48147871405601,33.85700215
A,Pleasant Hill,No Data Found,No Data Found
A,Randall Mill,-101.8301344,35.0660702
A,Tuxedo Park,No Data Found,No Data Found
A,West Paces Ferry/Northside,No Data Found,No Data Found
A,Whitewater Creek,No Data Found,No Data Found
B,Brookhaven,-84.3464257855234,33.85709265
B,Buckhead Forest,-84.3795589,33.8398137
B,Buckhead Village,-84.3795589,33.8398137
B,East Chastain Park,No Data Found,No Data Found
B,Garden Hills,27.8131315,-26.5394831
B,Lenox,-84.3581293,33.8453931
B,Lindbergh/Morosgo,-84.3714041866466,33.82371325
B,North Buckhead,-84.3643257,33.8524229
B,Peachtree Heights East,No Data Found,No Data Found
B,Peachtree Heights West,No Data Found,No Data Found
B,Peachtree Hills,-84.3771487,33.8189936
B,Peachtree Park,-75.075858,39.714621
B,Pine Hills,-84.3779822,33.8339932
B,Ridgedale Park,No Data Found,No Data Found
B,South Tuxedo Park,No Data Found,No Data Found
C,Arden/Habersham,No Data Found,No Data Found
C,Argonne Forest,No Data Found,No Data Found
C,Brandon,-84.4154836,33.8298268
C,Castlewood,-84.409932,33.834735
C,Channing Valley,-84.41145,33.807439
C,Collier Hills,-84.429471,33.8121026
C,Collier Hills North,No Data Found,No Data Found
C,Colonial Homes,-84.4171232,33.7409718
C,Cross Creek,No Data Found,No Data Found
C,Fernleaf,-84.4386063,33.8185032
C,Hanover West,-84.4330385,33.8211282
C,Memorial Park,No Data Found,No Data Found
C,Peachtree Battle Alliance,No Data Found,No Data Found
C,Ridgewood Heights,-84.4457625,33.8278826
C,Springlake,-84.40972420102372,33.8099546
C,Wesley Battle,No Data Found,No Data Found
C,Westminster/Milar,No Data Found,No Data Found
C,Westover Plantation,-84.4410401,33.8231605
C,Wildwood,-84.5196536,33.7434407
C,Woodfield,No Data Found,No Data Found
C,Wyngate,No Data Found,No Data Found
D,Berkeley Park,-80.0956648,33.0146637
D,Blandtown,No Data Found,No Data Found
D,Bolton,-84.4532628,33.8142719
D,Hills Park,-84.4343731,33.8051054
D,Riverside,-84.46743,33.8123276
D,Underwood Hills,-84.41632244344248,33.80593585
D,Whittier Mill Village,-84.48586633942719,33.81058755
E,Ansley Park,-84.3763154,33.7945497
E,Ardmore,-84.4000278,33.8062822
E,Atlantic Station,-84.398518,33.7900612
E,Brookwood,-84.3929827,33.8026052
E,Brookwood Hills,-84.3902048,33.8078828
E,Georgia Tech,-84.39884086001581,33.776033
E,Home Park,-84.3993271,33.7835326
E,Loring Heights,-84.39816584949483,33.79867475
E,Marietta Street Artery,No Data Found,No Data Found
E,Midtown,-84.3840713,33.7816556
E,Sherwood Forest,-86.2465301,32.3831475
F,Atkins Park,-84.35268,33.776144
F,Lindridge/Martin Manor,-84.35678525060487,33.81847535
F,Morningside/Lenox Park,-84.3588591178882,33.80618815
F,Piedmont Heights,No Data Found,No Data Found
F,Virginia Highland,-84.3536915,33.7826557
G,Almond Park,No Data Found,No Data Found
G,Atlanta Industrial Park,No Data Found,No Data Found
G,Bolton Hills,No Data Found,No Data Found
G,Brookview Heights,No Data Found,No Data Found
G,Carey Park,-84.4718745,33.7837172
G,Carver Hills,-84.463845,33.759962
G,Chattahoochee,-84.4818749,33.8084389
G,English Park,-84.49449792521003,33.7905418
G,Lincoln Homes,No Data Found,No Data Found
G,Monroe Heights,No Data Found,No Data Found
G,Rockdale,-84.442163,33.7849591
G,Scotts Crossing,-84.47017586733351,33.805302
G,West Highlands,No Data Found,No Data Found
H,Adamsville,-84.505209,33.7592737
H,Baker Hills,-84.464045,33.769502
H,Bakers Ferry,-84.534551,33.751329
H,Bankhead Courts,No Data Found,No Data Found
H,Bankhead/Bolton,No Data Found,No Data Found
H,Boulder Park,-84.5327095,33.752885
H,Carroll Heights,-84.5113203,33.7737177
H,Fairburn Heights,-84.5032645,33.7723288
H,Fairburn Road/Wisteria Lane,No Data Found,No Data Found
H,Fairburn Mays,No Data Found,No Data Found
H,Mays,-84.498094,33.737384
H,Oakcliff,-84.489989,33.758543
H,Old Gordon,-84.5126405,33.7677028
H,Ridgecrest Forest,-84.31652,33.768322
H,Wildwood,-84.5196536,33.7434407
H,Wilson Mill Meadows,No Data Found,No Data Found
H,Wisteria Gardens,No Data Found,No Data Found
I,Audobon Forest,No Data Found,No Data Found
I,Audobon Forest West,No Data Found,No Data Found
I,Beecher Hills,-84.4634111,33.7231742
I,Cascade Heights,-84.4632627,33.7223299
I,Chalet Woods,No Data Found,No Data Found
I,Collier Heights,-84.4859316,33.7762651
I,East Ardley Road,No Data Found,No Data Found
I,Florida Heights,-84.5032645,33.7723288
I,Green Acres Valley,No Data Found,No Data Found
I,Green Forest Acres,No Data Found,No Data Found
I,Harland Terrace,No Data Found,No Data Found
I,Horseshoe Community,No Data Found,No Data Found
I,Ivan Hill,-84.40440041781676,33.77403405
I,Magnum Manor,No Data Found,No Data Found
I,Peyton Forest,-84.47929356244947,33.80899155
I,Rosalie H. Wright Community Council,No Data Found,No Data Found
I,West Manor,No Data Found,No Data Found
I,Westhaven,-84.441413,33.732568
I,Westwood Terrace,No Data Found,No Data Found
J,Center Hill,-84.4733675,33.7752695
J,Dixie Hills,-84.4695538,33.7639447
J,Grove Park,-84.4454847,33.7734395
J,Harvel Homes Community,No Data Found,No Data Found
J,Penelope Neighbors,No Data Found,No Data Found
J,West Lake,-84.4453009,33.7533207
K,Bankhead,-84.4255518,33.7718772
K,Hunter Hills,No Data Found,No Data Found
K,Knight Park/Howell Station,No Data Found,No Data Found
K,Mozley Park,-84.4382621,33.75344
K,Washington Park,-84.42300454905714,33.7575888
L,English Avenue,-84.4130904,33.767804
L,Vine City,-84.4106071,33.7587482
M,Castleberry Hill,-84.4000561,33.7495867
M,Downtown,-84.3930464,33.7509748
