NPU,Neihborhood
A,Chastain Park
A,Kingswood
A,Margaret Mitchell
A,Mt. Paran Parkway
A,Mt. Paran/Northside
A,Paces
A,Pleasant Hill
A,Randall Mill
A,Tuxedo Park
A,West Paces Ferry/Northside
A,Whitewater Creek
B,Brookhaven
B,Buckhead Forest
B,Buckhead Village
B,East Chastain Park
B,Garden Hills
B,Lenox
B,Lindbergh/Morosgo
B,North Buckhead
B,Peachtree Heights East
B,Peachtree Heights West
B,Peachtree Hills
B,Peachtree Park
B,Pine Hills
B,Ridgedale Park
B,South Tuxedo Park
C,Arden/Habersham
C,Argonne Forest
C,Brandon
C,Castlewood
C,Channing Valley
C,Collier Hills
C,Collier Hills North
C,Colonial Homes
C,Cross Creek
C,Fernleaf
C,Hanover West
C,Memorial Park
C,Peachtree Battle Alliance
C,Ridgewood Heights
C,Springlake
C,Wesley Battle
C,Westminster/Milar
C,Westover Plantation
C,Wildwood
C,Woodfield
C,Wyngate
D,Berkeley Park
D,Blandtown
D,Bolton
D,Hills Park
D,Riverside
D,Underwood Hills
D,Whittier Mill Village
E,Ansley Park
E,Ardmore
E,Atlantic Station
E,Brookwood
E,Brookwood Hills
E,Georgia Tech
E,Home Park
E,Loring Heights
E,Marietta Street Artery
E,Midtown
E,Sherwood Forest
F,Atkins Park
F,Lindridge/Martin Manor
F,Morningside/Lenox Park
F,Piedmont Heights
F,Virginia Highland
G,Almond Park
G,Atlanta Industrial Park
G,Bolton Hills
G,Brookview Heights
G,Carey Park
G,Carver Hills
G,Chattahoochee
G,English Park
G,Lincoln Homes
G,Monroe Heights
G,Rockdale
G,Scotts Crossing
G,West Highlands
H,Adamsville
H,Baker Hills
H,Bakers Ferry
H,Bankhead Courts
H,Bankhead/Bolton
H,Boulder Park
H,Carroll Heights
H,Fairburn Heights
H,Fairburn Road/Wisteria Lane
H,Fairburn Mays
H,Mays
H,Oakcliff
H,Old Gordon
H,Ridgecrest Forest
H,Wildwood
H,Wilson Mill Meadows
H,Wisteria Gardens
I,Audobon Forest
I,Audobon Forest West
I,Beecher Hills
I,Cascade Heights
I,Chalet Woods
I,Collier Heights
I,East Ardley Road
I,Florida Heights
I,Green Acres Valley
I,Green Forest Acres
I,Harland Terrace
I,Horseshoe Community
I,Ivan Hill
I,Magnum Manor
I,Peyton Forest
I,Rosalie H. Wright Community Council
I,West Manor
I,Westhaven
I,Westwood Terrace
J,Center Hill
J,Dixie Hills
J,Grove Park
J,Harvel Homes Community
J,Penelope Neighbors
J,West Lake
K,Bankhead
K,Hunter Hills
K,Knight Park/Howell Station
K,Mozley Park
K,Washington Park
L,English Avenue
L,Vine City
M,Castleberry Hill
M,Downtown
M,Old Fourth Ward
M,Sweet Auburn
N,Cabbagetown
N,Candler Park
N,Druid Hills
N,Inman Park
N,Lake Clair
N,Poncey-Highland
N,Reynoldstown
O,East Lake
O,Edgewood
O,Kirkwood
O,The Villages at East Lake
P,Arlington Estates
P,Ashley Courts
P,Ben Hill
P,Ben Hill Acres
P,Ben Hill Forest
P,Ben Hill Pines
P,Ben Hill Terrace
P,Brentwood
P,Briar Glen
P,Butner/Tell
P,Cascade Green
P,Deerwood
P,Elmco Estates
P,Fairburn
P,Fairburn Tell
P,Fairway Acres
P,Greenbriar Village
P,Heritage Valley
P,Huntington
P,Kings Forest
P,Lake Estates
P,Meadowbrook Forest
P,Mellwood
P,Mt. Gilead Woods
P,Niskey Cove
P,Niskey Lake
P,Old Fairburn Village
P,Princeton Lakes
P,Rue Royal
P,Sandlewood Estates
P,Tampa Park
P,Wildwood Forest
Q,Midwest Cascade
Q,Regency Trace
R,Adams Park
R,Campbellton Road
R,Fort Valley
R,Greenbriar
R,Laurens Valley
R,Pamond Park
R,Southwest
S,Bush Mountain
S,Cascade Avenue/Road
S,Fort McPherson
S,Oakland City
S,Venetian Hills
S,Westmont Estates
T,Ashview Heights
T,Atlanta University Center
T,Harris Chiles
T,Just Us
T,The Villages at Castleberry Hill
T,West End
T,Westview
V,Adair Park
V,Capitol Gateway
V,Mechanicsville
V,Peoplestown
V,Pittsburgh
V,Summerhill
W,Benteen Park
W,Boulevard Heights
W,Custer/McDonough/Guice
W,East Atlanta
W,Grant Park
W,Oakland
W,Ormewood Park
W,State Facility
W,Woodland Hills
X,Capitol View
X,Capitol View Manor
X,Hammond Park
X,Perkerson
X,Sylvan Hills
Y,Amal Heights
Y,Betmar LaVilla
Y,Chosewood Park
Y,Englewood Manor
Y,High Point
Y,Joyland
Y,Lakewood Heights
Y,South Atlanta
Y,The Villages at Carver
Z,Blair Villa/Poole Creek
Z,Browns Mill Park
Z,Glenrose Heights
Z,Lakewood
Z,Leila Valley
Z,Norwood Manor
Z,Orchard Knob
Z,Polar Rock
Z,Rebel Valley Forest
Z,Rosedale Heights
Z,South River Gardens
Z,Swallow Circle/Baywood
Z,Thomasville Heights
