Within larger district,Neighborhood name
Seattle,North Seattle
North Seattle,Broadview
North Seattle,Bitter Lake
North Seattle,North Beach 
North Seattle,Crown Hill
North Seattle,Greenwood
North Seattle,Northgate
Northgate,Haller Lake
Northgate,Pinehurst
Northgate,North College Park
Northgate,Maple Leaf
North Seattle,Lake City
Lake City,Cedar Park
Lake City,Matthews Beach
Lake City,Meadowbrook
Lake City,Olympic Hills
Lake City,Victory Heights
North Seattle,Wedgwood
North Seattle,View Ridge
North Seattle,Sand Point
North Seattle,Roosevelt
North Seattle,Ravenna
North Seattle,Bryant
North Seattle,Windermere
Windermere,Hawthorne Hills
North Seattle,Laurelhurst
North Seattle,University District 
Ravenna,University Village
North Seattle,Wallingford
Lake Union ,Northlake
North Seattle,Green Lake
North Seattle,Fremont
North Seattle,Phinney Ridge
North Seattle,Ballard
Ballard,West Woodland
Ballard,Whittier Heights
Ballard,Adams
Ballard,Sunset Hill
Ballard,Loyal Heights
Seattle,Central Seattle
Central Seattle,Magnolia
Magnolia,Lawton Park
Magnolia,Briarcliff
Magnolia,Southeast Magnolia
Central Seattle,Interbay
Central Seattle,Queen Anne
Queen Anne,North Queen Anne
Queen Anne,East Queen Anne
Queen Anne,Lower Queen Anne
Queen Anne,West Queen Anne
Central Seattle,Capitol Hill
Capitol Hill,Portage Bay
Capitol Hill,Broadway
Capitol Hill ,Pike
Capitol Hill,Montlake
Capitol Hill,Stevens
Capitol Hill ,Interlaken
Capitol Hill ,Madison Valley
Capitol Hill ,Renton Hill
Capitol Hill,Madison Park
Madison Park,Broadmoor
North Seattle ,Lake Union
Lake Union,South Lake Union
South Lake Union,Cascade
Lake Union,Westlake
Lake Union,Eastlake
Central Seattle,Downtown
Downtown,Denny Triangle
Downtown,Belltown
Downtown,Pike
Downtown,Central Business District
Downtown,First Hill
Downtown,Pioneer Square
Downtown,International District 
Downtown,Yesler Terrace
Downtown,Central Waterfront
Downtown,West Edge
Central Seattle,Central Area
Central Area,Mann
Central Area,Minor
Minor,Cherry Hill 
Central Area,Atlantic
Atlantic,Judkins Park
Central Area,Madrona
Madrona,Madrona Valley
Central Area,Harrison
Harrison,Washington Park
Central Area,Leschi
Seattle,South End
South End,Rainier Valley
Rainier Valley,Mount Baker
Rainier Valley,Columbia City
Rainier Valley,Hillman City
Rainier Valley,Brighton
Rainier Valley,Dunlap 
Rainier Valley,Rainier Beach 
Rainier Valley,Rainier View 
South End,Seward Park
Seward Park,Lakewood
South End,Beacon Hill
Beacon Hill,North Beacon Hill
Beacon Hill,Mid Beacon Hill
Beacon Hill,Holly Park
Beacon Hill,South Beacon Hill
South End,Industrial District
Industrial District,SoDo
Industrial District,Harbor Island
South End,Georgetown
South End,South Park
Seattle,West Seattle
West Seattle,Alki Point
West Seattle,North Admiral
West Seattle,Junction
West Seattle,Seaview
West Seattle,Fairmount Park
West Seattle,Genesee
West Seattle,Gatewood
West Seattle,Fauntleroy
West Seattle,Arbor Heights
West Seattle ,Delridge
Delridge,North Delridge
Delridge,Pigeon Point
Delridge,Riverview
Delridge,Highland Park
Delridge,South Delridge
Delridge,Roxhill
Delridge,High Point
