,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
32,Wildwood Forest,4c02e10d187ec92870e5b47b,Duffer's,1883,5210 Pacific Ave,38.98097139734643,-74.82570004429925,52e81612bcbc57f1066b79eb,Mini Golf
22,Old Fourth Ward,4d6678a3153ba0930ff4e9f8,Arcade 160 Studios,792,621 North Ave NE Ste C,33.770101000000004,-84.367149,4bf58dd8d48988d124941735,Office
30,Inman Park,4d6678a3153ba0930ff4e9f8,Arcade 160 Studios,1450,621 North Ave NE Ste C,33.770101000000004,-84.367149,4bf58dd8d48988d124941735,Office
12,Atkins Park,4d6678a3153ba0930ff4e9f8,Arcade 160 Studios,1498,621 North Ave NE Ste C,33.770101000000004,-84.367149,4bf58dd8d48988d124941735,Office
14,Virginia Highland,4d6678a3153ba0930ff4e9f8,Arcade 160 Studios,1871,621 North Ave NE Ste C,33.770101000000004,-84.367149,4bf58dd8d48988d124941735,Office
27,Sweet Auburn,4d6678a3153ba0930ff4e9f8,Arcade 160 Studios,2025,621 North Ave NE Ste C,33.770101000000004,-84.367149,4bf58dd8d48988d124941735,Office
10,Midtown,4d6678a3153ba0930ff4e9f8,Arcade 160 Studios,2026,621 North Ave NE Ste C,33.770101000000004,-84.367149,4bf58dd8d48988d124941735,Office
1,Margaret Mitchell,4d6678a3153ba0930ff4e9f8,Arcade 160 Studios,2048,621 North Ave NE Ste C,33.770101000000004,-84.367149,4bf58dd8d48988d124941735,Office
40,Summerhill,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,428,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
34,Capitol Gateway,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,575,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
36,Mechanicsville,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,1338,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
42,Grant Park,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,1340,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
21,Downtown,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,1410,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
38,Peoplestown,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,1423,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
44,Oakland,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,1430,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
28,Sweet Auburn,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,1694,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
19,Castleberry Hill,4d7412d3d6f06dcbbdb70f08,Foege's Arcade,1771,No Address,33.740652000000004,-84.38421600000001,4bf58dd8d48988d1e1931735,Arcade
