,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
0,Arcade 160 Studios,4dc014671e72dd48b20019a6,MW Law Atlanta,6,621 North Ave,33.770113,-84.367077,4bf58dd8d48988d174941735,Coworking Space,Not Rated
1,Arcade 160 Studios,57bde049498e3cc1f7d51ae2,North Creative,20,"621 North Ave NE, Suite C170",33.770278930664055,-84.36711883544922,4bf58dd8d48988d1f1931735,General Entertainment,Not Rated
2,Arcade 160 Studios,52614d2e11d2226cbe1a8e3b,Levine City Real Estate,20,621 North Ave NE Ste C50,33.770278930664055,-84.36711883544922,5032885091d4c4b30a586d66,Real Estate Office,Not Rated
3,Arcade 160 Studios,4a7cb042f964a52041ed1fe3,North Ave Post,23,621 North Ave,33.770274,-84.3672913312912,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
4,Arcade 160 Studios,4b548145f964a520bebd27e3,Keller Williams,23,621 North Ave NE Ste C50,33.77026152204817,-84.3669893442236,5032885091d4c4b30a586d66,Real Estate Office,Not Rated
5,Arcade 160 Studios,4d38948f6eef5481d4ee4148,"McManamy, McLeod, Heller",32,621 North Ave NE,33.77022940791192,-84.36683440137578,4bf58dd8d48988d127941735,Conference Room,Not Rated
6,Arcade 160 Studios,4c00162dc30a2d7f54fc111d,Southern Dairies,34,No Address,33.77038126654163,-84.36697983785132,4bf58dd8d48988d130941735,Building,Not Rated
7,Arcade 160 Studios,4c40b53da5c5ef3b2710b06f,Cardlytics,36,621 North Ave,33.770394946883094,-84.36697420306936,4bf58dd8d48988d124941735,Office,Not Rated
8,Arcade 160 Studios,5d3f7c6a91896e0008d83e70,The Lola,39,621 North Ave NE Ste D100,33.769911,-84.367508,4bf58dd8d48988d174941735,Coworking Space,Not Rated
9,Arcade 160 Studios,5a0124f393bd634fafe63468,Deep End,61,621 North Ave NE Ste A100,33.77062221954636,-84.3669431428627,56aa371ae4b08b9a8d5734ba,Tex-Mex Restaurant,5.4
10,Arcade 160 Studios,581a233996ac60560ea72693,smith dalia architects,70,No Address,33.770713,-84.367365,4bf58dd8d48988d124941735,Office,Not Rated
11,Arcade 160 Studios,581f77788d169071e54b6990,Poseman Books,115,No Address,33.770959999999995,-84.36784,4bf58dd8d48988d114951735,Bookstore,Not Rated
12,Arcade 160 Studios,4c9ac088a004a1cd7a5a4b6e,AMLI Old 4th Ward,126,525 Glen Iris Dr NE,33.76902938926557,-84.36759788646008,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),7.3
13,Arcade 160 Studios,58b9a59c6cda1c41bc39ca0c,Rudy's Barbershop,145,650 North Ave NE #202,33.77141159711469,-84.36717746186542,4bf58dd8d48988d110951735,Salon / Barbershop,8.7
14,Arcade 160 Studios,5ceaedea06fb60002c22d8f9,The Tasting Room At City Winery,145,No Address,33.771390000000004,-84.366893,4bf58dd8d48988d123941735,Wine Bar,Not Rated
15,Arcade 160 Studios,4fe220fae4b02702d7d533c0,Dancing Goats Coffee Bar,146,650 North Ave NE,33.77138519612945,-84.36750944597692,4bf58dd8d48988d1e0931735,Coffee Shop,9.0
16,Arcade 160 Studios,60bfad5bef29715bc3146fb6,Sweetgreen,160,650 North Ave NE,33.771484,-84.366648,4bf58dd8d48988d1bd941735,Salad Place,8.0
17,Arcade 160 Studios,5d9d1ce9b5059b000858143e,Novel O4W,249,525 North Avenue Northeast,33.770875,-84.36967800000002,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
18,Arcade 160 Studios,50afcfd0e4b0dc886f2a631d,clark mountain,2176,No Address,33.784252166748054,-84.38337707519531,4eb1d4d54b900d56c88a45fc,Mountain,Not Rated
19,Atlanta Arcade & Gaming Rentals,5259e00211d22b1cf2b975f3,1116 Piedmont Rd,28,1116 Piedmont Ave NE,33.785219,-84.378887,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
20,Atlanta Arcade & Gaming Rentals,4ff4801de4b02ca33b11cd96,Ansley Above the Park Poolside,36,No Address,33.785407886160776,-84.3789824305818,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
21,Atlanta Arcade & Gaming Rentals,55f51478498e9b20fa63ec44,Ansley Above the Park,46,1130 Piedmont Ave NE,33.785654,-84.378911,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
22,Atlanta Arcade & Gaming Rentals,4b5d1bf3f964a520045329e3,Parc Vue,79,275 13th St NE,33.784967,-84.379349,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
23,Atlanta Arcade & Gaming Rentals,4db88de81e7206c23d0ac8ac,The Nook on Piedmont Park,82,1144 Piedmont Ave NE,33.786036145464486,-84.37838308872107,4bf58dd8d48988d14e941735,American Restaurant,8.2
24,Atlanta Arcade & Gaming Rentals,5d7e8c49b4fc9c00080e8629,Music Midtown Vip Lounge,86,No Address,33.784912,-84.377812,56aa371be4b08b9a8d5734db,Amphitheater,Not Rated
25,Atlanta Arcade & Gaming Rentals,4cdaed585aeda1cd84efb911,"Piedmont Park ""Noguchi Playscapes"" Playground",95,Piedmont Park,33.784956072522895,-84.37766873003083,4bf58dd8d48988d1e7941735,Playground,8.4
26,Atlanta Arcade & Gaming Rentals,6096961f10f0fb765005b9e9,Tic Tac Coffee,102,No Address,33.784496999999995,-84.37910500000002,4bf58dd8d48988d1e0931735,Coffee Shop,Not Rated
