,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
13,Swiss Avenue,4ab03c84f964a520996620e3,Arcade Bar,515,1825 Abrams Rd,32.812222696170856,-96.75327853216923,4bf58dd8d48988d116941735,Bar
12,Munger Place,4ab03c84f964a520996620e3,Arcade Bar,1437,1825 Abrams Rd,32.812222696170856,-96.75327853216923,4bf58dd8d48988d116941735,Bar
2,Greenville,4ab03c84f964a520996620e3,Arcade Bar,1602,1825 Abrams Rd,32.812222696170856,-96.75327853216923,4bf58dd8d48988d116941735,Bar
11,Lower Greenville,4ab03c84f964a520996620e3,Arcade Bar,1602,1825 Abrams Rd,32.812222696170856,-96.75327853216923,4bf58dd8d48988d116941735,Bar
10,Lakewood,4ab03c84f964a520996620e3,Arcade Bar,1661,1825 Abrams Rd,32.812222696170856,-96.75327853216923,4bf58dd8d48988d116941735,Bar
16,Garrett,4ab03c84f964a520996620e3,Arcade Bar,1764,1825 Abrams Rd,32.812222696170856,-96.75327853216923,4bf58dd8d48988d116941735,Bar
1,Grapevine,4c538a9530f92d7fad2af0b8,Northern Lights Arcade at Great Wolf Lodge,905,100 Great Wolf Dr,32.93225898310608,-97.03958657103749,4bf58dd8d48988d1e1931735,Arcade
15,Bluffview,4e18b36c183880768f442784,The Arcade,1687,No Address,32.970596,-96.925092,4bf58dd8d48988d1e1931735,Arcade
6,Rockwall,4f32bb1b19836c91c7f4450e,Spin and Win Arcade,840,10219 Plano Rd,32.889265,-96.703578,4d4b7105d754a06376d81259,Nightlife Spot
5,The Colony,4f32bb1b19836c91c7f4450e,Spin and Win Arcade,1355,10219 Plano Rd,32.889265,-96.703578,4d4b7105d754a06376d81259,Nightlife Spot
0,Coppell,4f551efde4b0336536ffd4a6,Noah's Arcade,1520,No Address,32.96421548528498,-97.02786845931178,4bf58dd8d48988d1e1931735,Arcade
7,Arts District,50d39fe2e4b06054da0fc08b,BBs Arcade,905,412 N Tyler St,32.748692,-96.837542,4bf58dd8d48988d1e1931735,Arcade
8,Bishop Arts District,50d39fe2e4b06054da0fc08b,BBs Arcade,905,412 N Tyler St,32.748692,-96.837542,4bf58dd8d48988d1e1931735,Arcade
9,Lake Cliff,50d39fe2e4b06054da0fc08b,BBs Arcade,1953,412 N Tyler St,32.748692,-96.837542,4bf58dd8d48988d1e1931735,Arcade
14,Wynnewood North,50d39fe2e4b06054da0fc08b,BBs Arcade,2281,412 N Tyler St,32.748692,-96.837542,4bf58dd8d48988d1e1931735,Arcade
3,Plano,56631de8498e2afbdc225b72,Free Play Arcade,1305,1730 E Belt Line Rd,32.943863233163555,-96.69334155701829,4bf58dd8d48988d1e1931735,Arcade
4,Sachse,574931cd498ec191ec0e8f52,Gonzo's Rolling Arcade,1665,No Address,32.96129017713188,-96.59428596496582,4bf58dd8d48988d1e1931735,Arcade
