Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
Coppell,4f551efde4b0336536ffd4a6,Noah's Arcade,1520,No Address,32.96421548528498,-97.02786845931175,4bf58dd8d48988d1e1931735,Arcade
Grapevine,4c538a9530f92d7fad2af0b8,Northern Lights Arcade at Great Wolf Lodge,905,100 Great Wolf Dr,32.93225898310608,-97.03958657103747,4bf58dd8d48988d1e1931735,Arcade
Greenville,4ab03c84f964a520996620e3,Arcade Bar,1602,1825 Abrams Rd,32.81222269617086,-96.75327853216925,4bf58dd8d48988d116941735,Bar
Plano,56631de8498e2afbdc225b72,Free Play Arcade,1305,1730 E Belt Line Rd,32.943863233163555,-96.69334155701827,4bf58dd8d48988d1e1931735,Arcade
Sachse,574931cd498ec191ec0e8f52,Gonzo's Rolling Arcade,1665,No Address,32.96129017713188,-96.59428596496582,4bf58dd8d48988d1e1931735,Arcade
The Colony,4f32bb1b19836c91c7f4450e,Spin and Win Arcade,1355,10219 Plano Rd,32.889265,-96.70357800000001,4d4b7105d754a06376d81259,Nightlife Spot
Rockwall,4f32bb1b19836c91c7f4450e,Spin and Win Arcade,840,10219 Plano Rd,32.889265,-96.70357800000001,4d4b7105d754a06376d81259,Nightlife Spot
Arts District,50d39fe2e4b06054da0fc08b,BBs Arcade,905,412 N Tyler St,32.748692,-96.837542,4bf58dd8d48988d1e1931735,Arcade
Bishop Arts District,50d39fe2e4b06054da0fc08b,BBs Arcade,905,412 N Tyler St,32.748692,-96.837542,4bf58dd8d48988d1e1931735,Arcade
Lake Cliff,50d39fe2e4b06054da0fc08b,BBs Arcade,1953,412 N Tyler St,32.748692,-96.837542,4bf58dd8d48988d1e1931735,Arcade
Lakewood,4ab03c84f964a520996620e3,Arcade Bar,1661,1825 Abrams Rd,32.81222269617086,-96.75327853216925,4bf58dd8d48988d116941735,Bar
Lower Greenville,4ab03c84f964a520996620e3,Arcade Bar,1602,1825 Abrams Rd,32.81222269617086,-96.75327853216925,4bf58dd8d48988d116941735,Bar
Munger Place,4ab03c84f964a520996620e3,Arcade Bar,1437,1825 Abrams Rd,32.81222269617086,-96.75327853216925,4bf58dd8d48988d116941735,Bar
Swiss Avenue,4ab03c84f964a520996620e3,Arcade Bar,515,1825 Abrams Rd,32.81222269617086,-96.75327853216925,4bf58dd8d48988d116941735,Bar
Wynnewood North,50d39fe2e4b06054da0fc08b,BBs Arcade,2281,412 N Tyler St,32.748692,-96.837542,4bf58dd8d48988d1e1931735,Arcade
Bluffview,4e18b36c183880768f442784,The Arcade,1687,No Address,32.970596,-96.925092,4bf58dd8d48988d1e1931735,Arcade
Garrett,4ab03c84f964a520996620e3,Arcade Bar,1764,1825 Abrams Rd,32.81222269617086,-96.75327853216925,4bf58dd8d48988d116941735,Bar
