,Venue_Distance,Category_ID,Category_Name,Venue_Rating
0,6,4bf58dd8d48988d1f2931735,Performing Arts Venue,8.2
1,10,4bf58dd8d48988d1e7931735,Jazz Club,8.2
2,23,4bf58dd8d48988d1c1941735,Mexican Restaurant,8.0
3,46,4bf58dd8d48988d1e4931735,Bowling Alley,Not Rated
4,60,4bf58dd8d48988d1e4931735,Bowling Alley,Not Rated
5,78,4bf58dd8d48988d1e4931735,Bowling Alley,Not Rated
6,78,4bf58dd8d48988d1e0931735,Coffee Shop,7.9
7,92,4bf58dd8d48988d16e941735,Fast Food Restaurant,5.8
8,100,4bf58dd8d48988d111941735,Japanese Restaurant,Not Rated
9,114,4bf58dd8d48988d10c951735,Cosmetics Shop,8.1
10,118,4bf58dd8d48988d1c4941735,Restaurant,8.2
11,118,4bf58dd8d48988d112941735,Juice Bar,Not Rated
12,125,4bf58dd8d48988d128951735,Gift Shop,Not Rated
13,132,4bf58dd8d48988d163941735,Park,Not Rated
14,146,4bf58dd8d48988d124941735,Office,Not Rated
15,159,4bf58dd8d48988d175941735,Gym / Fitness Center,7.4
16,176,4bf58dd8d48988d10a951735,Bank,6.4
17,188,5370f356bcbc57f1066c94c2,Beer Store,8.2
18,2073,52f2ab2ebcbc57f1066b8b1f,Shipping Store,6.7
19,8,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
20,10,4bf58dd8d48988d11b951735,Flower Shop,Not Rated
21,14,4d4b7104d754a06370d81259,Arts & Entertainment,Not Rated
22,14,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
23,15,4bf58dd8d48988d115951735,Bike Shop,Not Rated
24,21,4bf58dd8d48988d1f8941735,Furniture / Home Store,Not Rated
25,22,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
26,26,4bf58dd8d48988d104951735,Boutique,Not Rated
27,27,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
28,28,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
29,29,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant,Not Rated
30,29,4bf58dd8d48988d1f4941735,Design Studio,Not Rated
