,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
0,Arcade Bar,40e0b100f964a520ea071fe3,Balcony Club,10,1825 Abrams Rd Ste B,32.81226487460038,-96.75337425441131,4bf58dd8d48988d1e7931735,Jazz Club
1,Arcade Bar,4ab03c84f964a520996620e3,Arcade Bar,0,1825 Abrams Rd,32.81222269617086,-96.75327853216925,4bf58dd8d48988d116941735,Bar
2,Arcade Bar,4fbbb1ace4b0c28e72dad0e7,Mi Cocina,23,6332 La Vista Dr,32.81230524514522,-96.7535076677699,4bf58dd8d48988d1c1941735,Mexican Restaurant
3,Arcade Bar,4234d400f964a52012201fe3,Lakewood Theater,6,1825 Abrams Rd,32.81216512514588,-96.7532583937494,4bf58dd8d48988d1f2931735,Performing Arts Venue
4,Arcade Bar,5d6c6950716af5000829b0dc,Bowkski’s,46,1825 Abrams Rd,32.811833,-96.753104,4bf58dd8d48988d1e4931735,Bowling Alley
5,Arcade Bar,5d6efe9be1edd6000826d267,Bowlski’s,78,No Address,32.811523,-96.753198,4bf58dd8d48988d1e4931735,Bowling Alley
6,Arcade Bar,4dd6a1d3b0fb8af38071e075,Campagna & Assoc Realtors,60,726 Paulus Ave,32.81197616588175,-96.75385568943206,4bf58dd8d48988d1e4931735,Bowling Alley
7,Arcade Bar,4f92e9c9e4b00fe65eb772de,Harrell Park,132,No Address,32.81268848948369,-96.75197376003965,4bf58dd8d48988d163941735,Park
8,Arcade Bar,4abfcfedf964a520649220e3,Starbucks,78,6312 La Vista,32.812518,-96.754035,4bf58dd8d48988d1e0931735,Coffee Shop
9,Arcade Bar,4bccc6e0511f9521d49eb3c7,The UPS Store,2073,"7324 Gaston Ave, Ste 124",32.8115812243426,-96.73112404416315,52f2ab2ebcbc57f1066b8b1f,Shipping Store
10,Arcade Bar,5dd892fc1588c30008720e28,Waya Japanese Izakaya,100,6334 Gaston Ave,32.813103,-96.753494,4bf58dd8d48988d111941735,Japanese Restaurant
11,Arcade Bar,4bd623705631c9b6266ea530,City Nails,114,6406 Gaston Ave,32.813255,-96.75327,4bf58dd8d48988d10c951735,Cosmetics Shop
12,Arcade Bar,5a50d6473c858d2b2faca2d2,Orangetheory Fitness,159,1911 Abrams Pkwy,32.813299708526095,-96.75214716930047,4bf58dd8d48988d175941735,Gym / Fitness Center
13,Arcade Bar,573f4656498eadf763b36918,Craft Beer Cellar Dallas,188,6324 Gaston Ave,32.813833781171724,-96.75265972135094,5370f356bcbc57f1066c94c2,Beer Store
14,Arcade Bar,589d1b9f18fd2b55c94e383e,Sasa Sushi,118,6340 Gaston Ave,32.813283859164926,-96.75333657419512,4bf58dd8d48988d1c4941735,Restaurant
15,Arcade Bar,4ee2893bb634bfdd0d57af07,The T Shop,125,1911 Abrams Pkwy Ste 102,32.813148498535156,-96.75251770019531,4bf58dd8d48988d128951735,Gift Shop
16,Arcade Bar,571a5833498e15fd22abca3c,Roots Juices,118,1906 Abrams Pkwy,32.813120037069545,-96.75259612055613,4bf58dd8d48988d112941735,Juice Bar
17,Arcade Bar,4b987e24f964a520854435e3,Jack in the Box,92,6308 Gaston Ave,32.81233982208983,-96.75425961613655,4bf58dd8d48988d16e941735,Fast Food Restaurant
18,Arcade Bar,4be58d83910020a18c16d314,Bank of America,176,6215 Gaston Ave,32.81215350161533,-96.75516520608437,4bf58dd8d48988d10a951735,Bank
19,Arcade Bar,5cf16932b9b37b002c03f54c,Allegiance Title,146,1834 Abrams Rd,32.813252,-96.752301,4bf58dd8d48988d124941735,Office
20,Northern Lights Arcade at Great Wolf Lodge,4c538a9530f92d7fad2af0b8,Northern Lights Arcade at Great Wolf Lodge,0,100 Great Wolf Dr,32.93225898310608,-97.03958657103747,4bf58dd8d48988d1e1931735,Arcade
21,Northern Lights Arcade at Great Wolf Lodge,4bcef83b29d4b7135c4da9dc,DFW North Toll Plaza,1076,International Pkwy,32.92259152112806,-97.03959703445435,52f2ab2ebcbc57f1066b8b4e,Toll Plaza
22,Northern Lights Arcade at Great Wolf Lodge,504e572de4b0fcb8a575f307,Taxi with a driver who can't drive,453,No Address,32.93082111866884,-97.04412842139563,4f2a23984b9023bd5841ed2c,Moving Target
23,Northern Lights Arcade at Great Wolf Lodge,58419f83f63c54143e4c4579,on a Lyft ride,470,No Address,32.932069,-97.034552,54541b70498ea6ccd0204bff,Transportation Service
24,Northern Lights Arcade at Great Wolf Lodge,503e179de4b0ab5499d0fc73,Siplast,13358,1000 Rochelle Blvd,32.852203,-96.93312900000001,4eb1bea83b7b6f98df247e06,Factory
25,Northern Lights Arcade at Great Wolf Lodge,4ed56a1f6c2528aaaebb33da,Dfw Outlook,704,No Address,32.92601050136173,-97.04078894969777,4bf58dd8d48988d162941735,Other Great Outdoors
26,Northern Lights Arcade at Great Wolf Lodge,5a257afe974617120f2b07b2,McKesson Specialty Health,814,845 Regent Blvd,32.939303,-97.037218,4bf58dd8d48988d124941735,Office
27,Northern Lights Arcade at Great Wolf Lodge,5b3fbd436dcf04002c891b9e,Coca Cola,1231,2701 Esters Blvd,32.930871,-97.026513,52e81612bcbc57f1066b7a36,Warehouse
28,Northern Lights Arcade at Great Wolf Lodge,51a40113498e5fd306ee7691,Gate B36A,1195,No Address,32.92151597754639,-97.03969683192787,4bf58dd8d48988d1f0931735,Airport Gate
29,Northern Lights Arcade at Great Wolf Lodge,5a09c2019e0d541db655b02b,North Cell Phone Lot,914,N Airfield Dr,32.92405045605012,-97.03998863697052,4c38df4de52ce0d596b336e1,Parking
30,Northern Lights Arcade at Great Wolf Lodge,4bc531680a30d13a65ce599c,Pitcher's,1477,No Address,32.9189876649038,-97.03966532879761,4bf58dd8d48988d11d941735,Sports Bar
31,Northern Lights Arcade at Great Wolf Lodge,4cfc0222c51fa1cd1ac1e92b,Polar Express,1068,No Address,32.93966251876902,-97.0468589320128,4bf58dd8d48988d1f1931735,General Entertainment
32,Northern Lights Arcade at Great Wolf Lodge,5d97a7a373b07e0008bc1fb0,Area 51,659,No Address,32.93658,-97.03475,56aa371be4b08b9a8d57352f,Airport Service
