,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
67,Coachlight Square,4e513b38c65bb313ba9ebab0,Sean's Arcade And Mini Bar,933,No Address,39.0181981901088,-94.47883225310845,4bf58dd8d48988d171941735,Event Space
19,Library District,4e68c94aae60186280a26fe8,Arcade Shoe Repair,221,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
72,Walnut Grove,4e68c94aae60186280a26fe8,Arcade Shoe Repair,371,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
23,Quality Hill,4e68c94aae60186280a26fe8,Arcade Shoe Repair,738,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
3,CBD-Downtown,4e68c94aae60186280a26fe8,Arcade Shoe Repair,1120,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
11,Crossroads,4e68c94aae60186280a26fe8,Arcade Shoe Repair,1284,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
27,River Market,4e68c94aae60186280a26fe8,Arcade Shoe Repair,1302,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
7,Columbus Park,4e68c94aae60186280a26fe8,Arcade Shoe Repair,1394,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
37,Parkview,4e68c94aae60186280a26fe8,Arcade Shoe Repair,1510,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
32,West Side,4e68c94aae60186280a26fe8,Arcade Shoe Repair,1782,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
60,Harlem,4e68c94aae60186280a26fe8,Arcade Shoe Repair,1860,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
15,Hospital Hill,4e68c94aae60186280a26fe8,Arcade Shoe Repair,1987,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
55,Beacon Hill,4e68c94aae60186280a26fe8,Arcade Shoe Repair,2677,No Address,39.101541999999995,-94.58179100000001,4bf58dd8d48988d1ff941735,Miscellaneous Shop
56,Chaumiere,4fbefafae4b02c8542b9389a,Arcade Xbox,1305,No Address,39.16216867889296,-94.54651477680643,4bf58dd8d48988d1e1931735,Arcade
62,Winnwood Gardens,4fbefafae4b02c8542b9389a,Arcade Xbox,1924,No Address,39.16216867889296,-94.54651477680643,4bf58dd8d48988d1e1931735,Arcade
16,Library District,512bf4f7e4b0933b4ab63b1c,Commerce Arcade,204,1000 Walnut St,39.101503,-94.582445,5744ccdfe4b0c0459246b4dc,Shopping Plaza
70,Walnut Grove,512bf4f7e4b0933b4ab63b1c,Commerce Arcade,375,1000 Walnut St,39.101503,-94.582445,5744ccdfe4b0c0459246b4dc,Shopping Plaza
21,Quality Hill,512bf4f7e4b0933b4ab63b1c,Commerce Arcade,682,1000 Walnut St,39.101503,-94.582445,5744ccdfe4b0c0459246b4dc,Shopping Plaza
