,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
0,Arcade Shoe Repair,4d06676137036dcbdaf21bfb,Courtyard Delicatessen,32,1010 Grand Blvd,39.101554,-94.581418,54f4ba06498e2cf5561da814,Corporate Cafeteria,Not Rated
1,Arcade Shoe Repair,4fd8e282e4b0de27c90b4166,Charisse,37,1006 Walnut St,39.101624763939,-94.58221077919006,4bf58dd8d48988d10c941735,French Restaurant,7.6
2,Arcade Shoe Repair,4df8bc09a809df9984ea7cde,Harmony,40,911 Main St,39.10151,-94.58226,4bf58dd8d48988d124941735,Office,Not Rated
3,Arcade Shoe Repair,51b9d3c2498e51f3058aafbf,U.S. Department of Education (ED),56,1010 Walnut St,39.101503,-94.58244499999999,4bf58dd8d48988d124941735,Office,Not Rated
4,Arcade Shoe Repair,502d3f88e4b05f26ae8380f8,KPMG,56,1000 Walnut St Ste 1000,39.101503,-94.58244499999999,4bf58dd8d48988d124941735,Office,Not Rated
5,Arcade Shoe Repair,4c72c5787121a1cd046a63d1,FedEx Office Print & Ship Center,70,"1111 Main St, Suite 111",39.1009969,-94.5822173,52f2ab2ebcbc57f1066b8b1f,Shipping Store,6.0
6,Arcade Shoe Repair,4bed86856e8c20a1bc7d7061,In & Out,85,1007 Main St,39.102059000000004,-94.582522,4d954b0ea243a5684a65b473,Convenience Store,Not Rated
7,Arcade Shoe Repair,4dc03758fa8cc78a8624e726,Mama Tio's,94,1111 Main St,39.100947041148814,-94.58257740846615,4bf58dd8d48988d1c1941735,Mexican Restaurant,5.2
8,Arcade Shoe Repair,5c8b1c800d8a0f002c113a68,Spokes Cafe & Cyclery,99,929 Walnut St,39.10243653283771,-94.58174675703049,4bf58dd8d48988d16d941735,Café,Not Rated
9,Arcade Shoe Repair,4e20894bd164740631fcf388,Commerce Bank,102,1001 Main St,39.10243147749721,-94.58207630066285,4bf58dd8d48988d10a951735,Bank,7.5
10,Arcade Shoe Repair,4b85472ff964a520485431e3,Professional Building Lofts,114,1103 Grand Blvd,39.100827032190594,-94.5808305400614,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
11,Arcade Shoe Repair,4cdb2a9cfc9737040246cd05,Troost MAX - Financial District,115,E 11th St,39.101146,-94.580556,52f2ab2ebcbc57f1066b8b4f,Bus Stop,Not Rated
12,Arcade Shoe Repair,568c885e498e68d35094a34a,Zaina,127,1108 Grand Blvd,39.10065350476477,-94.5808623542478,4bf58dd8d48988d1c0941735,Mediterranean Restaurant,8.5
13,Arcade Shoe Repair,4f672da3e4b098610d469f85,"Kristopher J. Bruso, DDS",137,1111 Main St #306,39.100888,-94.5831397,4bf58dd8d48988d178941735,Dentist's Office,Not Rated
14,Arcade Shoe Repair,4b0b0efef964a520372c23e3,Commerce Bank Building,148,1000 Walnut St,39.10248142144162,-94.58301004077336,4bf58dd8d48988d130941735,Building,Not Rated
15,Arcade Shoe Repair,4d69d94882cba0939169e0d8,Bank Midwest,163,1111 Main St,39.10048489490264,-94.58310624123204,4bf58dd8d48988d10a951735,Bank,Not Rated
16,Arcade Shoe Repair,4b2bd714f964a5201abc24e3,Neo Delicatessan,193,1000 Walnut St Ste 205,39.10297683075797,-94.58306316628959,4bf58dd8d48988d146941735,Deli / Bodega,7.6
17,Arcade Shoe Repair,4c7bc2303badb1f7f8bd5554,UMB Bank,247,1010 Grand Blvd,39.10172753435879,-94.5789408742427,4bf58dd8d48988d10a951735,Bank,Not Rated
18,Arcade Shoe Repair,5996a3f74186866117bcdbba,Hotel Indigo Kansas City Downtown,263,101 W 11th St,39.100701,-94.58464599999999,4bf58dd8d48988d1fa931735,Hotel,Not Rated
19,Arcade Xbox,4fb6e5cde4b0397fc0463503,The Veranda,7,No Address,39.16214,-94.54643,4bf58dd8d48988d117941735,Beer Garden,Not Rated
20,Arcade Xbox,4f960c82e4b08c0fe2e2ddd2,Ackerman Master Suite,11,No Address,39.162171450887364,-94.54664814719604,4eb1d80a4b900d56c88a45ff,Shrine,Not Rated
21,Arcade Xbox,4fbd23bae4b0caa891587ae6,Gift of Life Garden,149,No Address,39.16272735595703,-94.54808807373048,4bf58dd8d48988d196941735,Hospital,Not Rated
22,Arcade Xbox,4dd7debd7d8b322663fa1b78,Avondale United Methodist Church,300,No Address,39.15999707374528,-94.54444513450005,4bf58dd8d48988d132941735,Church,Not Rated
23,Arcade Xbox,4e10f91762e1d997a69c0eef,Bestie House,307,3700-3798 N Walrond Ave,39.16180787,-94.54297703,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
24,Arcade Xbox,4df3bff162e1288ed30527ad,Avondale Baptist Church,399,No Address,39.16402638614926,-94.55047803560178,4bf58dd8d48988d124941735,Office,Not Rated
25,Arcade Xbox,4ae0ff98f964a5206a8421e3,Cooley Park,410,3501-3599 NE Antioch Rd,39.15848280509862,-94.54678167075424,4bf58dd8d48988d163941735,Park,Not Rated
26,Arcade Xbox,4cd56ad376ab721e04da6c6a,Faith Community Church,435,3500 NE Parvin Road,39.16479587436011,-94.55025644802885,4bf58dd8d48988d132941735,Church,Not Rated
27,Arcade Xbox,4d1a13b3cc216ea8051082d3,Kansas City North Community Center,514,3930 NE Antioch Rd,39.16612426247009,-94.54960741870285,4bf58dd8d48988d176941735,Gym,6.9
28,Arcade Xbox,5243775d11d2bace0b8bc215,Hiway House,776,4071 Prather Rd,39.168535,-94.550184,4bf58dd8d48988d116941735,Bar,Not Rated
29,Arcade Xbox,4cdc9f2ba1bba35d02b09be5,Hills Of Rock Creek,884,No Address,39.157761937501284,-94.55503784158743,4bf58dd8d48988d163941735,Park,Not Rated
30,Arcade Xbox,4ad4c01df964a5204df120e3,Best Western Country Inn - North,992,2633 NE 43rd St,39.17104918275321,-94.54752064973944,4bf58dd8d48988d1fa931735,Hotel,6.2
31,Arcade Xbox,4ebad1b2775b2c800cfb6811,Faith Christian Academy,1033,4330 NW Cookingham Rd,39.15854263305664,-94.55753326416016,4bf58dd8d48988d13b941735,School,Not Rated
32,Arcade Xbox,50b3b4d0e4b0c965a1cdd2a8,Cerner TOC,1048,3512 NE 33rd Ter,39.15506383448874,-94.53854372800473,4bf58dd8d48988d124941735,Office,Not Rated
33,Arcade Xbox,4f8243aae4b0bc1418d15ecc,Cloud 9 Liquor,1098,No Address,39.171907,-94.5486,4bf58dd8d48988d186941735,Liquor Store,Not Rated
34,Arcade Xbox,4e5a5a0ac65bcd7cbe403d31,Parvin Coin Laundry,1100,1800 NE Parvin Rd,39.16705200000001,-94.557604,4bf58dd8d48988d1fc941735,Laundry Service,Not Rated
35,Arcade Xbox,4c2f69eb16adc9282378bd9c,Domino's Pizza,1161,2516 NE 43rd St,39.17230767158498,-94.54970428350865,4bf58dd8d48988d1ca941735,Pizza Place,6.6
36,Arcade Xbox,4f551bdbe4b028a922545be5,catfish hill,1353,"4400 NE Antioch Rd, Kansas City, MO 64116",39.174076080322266,-94.54971313476562,4bf58dd8d48988d165941735,Scenic Lookout,Not Rated
37,Arcade Xbox,4f2b6101e4b0009b31009675,Chouteau Trfy,1565,No Address,39.172933264049355,-94.53484826708208,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
38,Broadway Arcade,5a0fa1ae805e3f75a4746b43,Hush,4,1000 Broadway Blvd LL,39.102238,-94.58869,4bf58dd8d48988d1d4941735,Speakeasy,Not Rated
39,Broadway Arcade,5a09d18a8c812a60e1044a83,Beer 30,11,1000 Broadway Blvd Ste 100,39.102203,-94.58857,4bf58dd8d48988d116941735,Bar,Not Rated
40,Broadway Arcade,5b08df9c0ee92a0039760cf2,The 10 Spot,15,1000 Broadway Blvd Ste 300,39.10222,-94.5885,4bf58dd8d48988d1e5931735,Music Venue,Not Rated
41,Broadway Arcade,574e161a498ea87153844b0a,The Garment House,26,1000 Broadway Blvd,39.102035,-94.588655,4bf58dd8d48988d130941735,Building,Not Rated
42,Broadway Arcade,4b1d69c5f964a5202b1024e3,The Quaff Bar & Grill,34,1010 Broadway Blvd,39.1020839578129,-94.58835714231354,4bf58dd8d48988d118941735,Dive Bar,7.7
43,Broadway Arcade,54f7bc9b498e807ec44a74d4,Opera House Lofts,55,930 Broadway Blvd,39.102766,-94.588623,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
44,Broadway Arcade,4b75ec8df964a5203d2f2ee3,The Majestic Restaurant,60,931 Broadway Blvd,39.102607211263035,-94.58811163902284,4bf58dd8d48988d1cc941735,Steakhouse,8.3
45,Broadway Arcade,4f0ef264e4b050cad0b9559f,"Wright & Fisher, LLC",65,"1000 Broadway St, Suite 400",39.10168732058929,-94.58860963782465,4bf58dd8d48988d124941735,Office,Not Rated
