,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
144,Clinton,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,340,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
494,Hudson Yards,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,605,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
167,Midtown,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,992,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
353,Midtown South,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,1030,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
188,Murray Hill,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,1581,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
205,Chelsea,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,1696,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
125,Lincoln Square,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,1929,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
444,Flatiron,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,1957,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
418,Tudor City,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,2160,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
397,Turtle Bay,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,2205,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley
172,Murray Hill,42869100f964a52018231fe3,5th ave. arcade inc.,348,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
341,Midtown South,42869100f964a52018231fe3,5th ave. arcade inc.,620,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
402,Tudor City,42869100f964a52018231fe3,5th ave. arcade inc.,893,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
153,Midtown,42869100f964a52018231fe3,5th ave. arcade inc.,900,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
265,Gramercy,42869100f964a52018231fe3,5th ave. arcade inc.,1046,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
436,Flatiron,42869100f964a52018231fe3,5th ave. arcade inc.,1090,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
383,Turtle Bay,42869100f964a52018231fe3,5th ave. arcade inc.,1333,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
200,Chelsea,42869100f964a52018231fe3,5th ave. arcade inc.,1820,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
141,Clinton,42869100f964a52018231fe3,5th ave. arcade inc.,1842,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
422,Stuyvesant Town,42869100f964a52018231fe3,5th ave. arcade inc.,1855,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
490,Hudson Yards,42869100f964a52018231fe3,5th ave. arcade inc.,1907,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
220,East Village,42869100f964a52018231fe3,5th ave. arcade inc.,2088,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
371,Sutton Place,42869100f964a52018231fe3,5th ave. arcade inc.,2164,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
376,Hunters Point,42869100f964a52018231fe3,5th ave. arcade inc.,2382,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade
60,Coney Island,49ebfb9df964a5204d671fe3,Eldorado Bumper Cars & Arcade,725,1216 Surf Ave,40.5752214689074,-73.98018786277851,4bf58dd8d48988d1e1931735,Arcade
21,Brighton Beach,49ebfb9df964a5204d671fe3,Eldorado Bumper Cars & Arcade,1288,1216 Surf Ave,40.5752214689074,-73.98018786277851,4bf58dd8d48988d1e1931735,Arcade
336,Midtown South,4a326ac3f964a520499a1fe3,Kaufman Arcade,300,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
149,Midtown,4a326ac3f964a520499a1fe3,Kaufman Arcade,736,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
171,Murray Hill,4a326ac3f964a520499a1fe3,Kaufman Arcade,962,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
127,Clinton,4a326ac3f964a520499a1fe3,Kaufman Arcade,1061,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
477,Hudson Yards,4a326ac3f964a520499a1fe3,Kaufman Arcade,1111,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
428,Flatiron,4a326ac3f964a520499a1fe3,Kaufman Arcade,1292,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
191,Chelsea,4a326ac3f964a520499a1fe3,Kaufman Arcade,1426,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
401,Tudor City,4a326ac3f964a520499a1fe3,Kaufman Arcade,1579,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
261,Gramercy,4a326ac3f964a520499a1fe3,Kaufman Arcade,1686,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
379,Turtle Bay,4a326ac3f964a520499a1fe3,Kaufman Arcade,1804,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
116,Lincoln Square,4a326ac3f964a520499a1fe3,Kaufman Arcade,2506,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building
98,Upper East Side,4b996827f964a520377935e3,Central Park - The Arcade,902,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
105,Lenox Hill,4b996827f964a520377935e3,Central Park - The Arcade,1203,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
117,Lincoln Square,4b996827f964a520377935e3,Central Park - The Arcade,1213,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
114,Upper West Side,4b996827f964a520377935e3,Central Park - The Arcade,1619,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
368,Sutton Place,4b996827f964a520377935e3,Central Park - The Arcade,1635,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
319,Carnegie Hill,4b996827f964a520377935e3,Central Park - The Arcade,1786,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
103,Yorkville,4b996827f964a520377935e3,Central Park - The Arcade,2022,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
111,Roosevelt Island,4b996827f964a520377935e3,Central Park - The Arcade,2251,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
255,Manhattan Valley,4b996827f964a520377935e3,Central Park - The Arcade,2669,Central Park,40.77385953238675,-73.97095245470805,4bf58dd8d48988d164941735,Plaza
76,Ocean Hill,4bf9ff045ec320a12d298bd3,Arcade Restaurant,362,No Address,40.681484000000005,-73.911668,4bf58dd8d48988d130941735,Building
459,Broadway Junction,4bf9ff045ec320a12d298bd3,Arcade Restaurant,812,No Address,40.681484000000005,-73.911668,4bf58dd8d48988d130941735,Building
454,Weeksville,4bf9ff045ec320a12d298bd3,Arcade Restaurant,1746,No Address,40.681484000000005,-73.911668,4bf58dd8d48988d1e1931735,Arcade
471,Highland Park,4bf9ff045ec320a12d298bd3,Arcade Restaurant,1800,No Address,40.681484000000005,-73.911668,4bf58dd8d48988d18d941735,Gaming Cafe
38,Brownsville,4bf9ff045ec320a12d298bd3,Arcade Restaurant,1955,No Address,40.681484000000005,-73.911668,4bf58dd8d48988d17f941735,Movie Theater
41,Bushwick,4bf9ff045ec320a12d298bd3,Arcade Restaurant,2178,No Address,40.681484000000005,-73.911668,4bf58dd8d48988d121941735,Lounge
62,Coney Island,4c2e9b5b09a99c746c9c0a2a,Deno's Arcade,818,1025 Boardwalk W,40.57388221768576,-73.9790153503418,4bf58dd8d48988d1e1931735,Arcade
23,Brighton Beach,4c2e9b5b09a99c746c9c0a2a,Deno's Arcade,1221,1025 Boardwalk W,40.57388221768576,-73.9790153503418,4bf58dd8d48988d1e1931735,Arcade
34,Prospect Heights,4c4a1cb69c8d2d7fb1be1069,At the arcade,369,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
58,Park Slope,4c4a1cb69c8d2d7fb1be1069,At the arcade,1011,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
57,Fort Greene,4c4a1cb69c8d2d7fb1be1069,At the arcade,1157,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
73,Boerum Hill,4c4a1cb69c8d2d7fb1be1069,At the arcade,1505,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
69,Clinton Hill,4c4a1cb69c8d2d7fb1be1069,At the arcade,1620,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
71,Downtown,4c4a1cb69c8d2d7fb1be1069,At the arcade,1852,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
50,Carroll Gardens,4c4a1cb69c8d2d7fb1be1069,At the arcade,2218,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
55,Gowanus,4c4a1cb69c8d2d7fb1be1069,At the arcade,2254,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
29,Crown Heights,4c4a1cb69c8d2d7fb1be1069,At the arcade,2299,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
96,Central Harlem,4c649a46e0c4be9aca168658,Harlem Arcade,160,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
94,Hamilton Heights,4c649a46e0c4be9aca168658,Harlem Arcade,1075,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
95,Manhattanville,4c649a46e0c4be9aca168658,Harlem Arcade,1352,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
258,Morningside Heights,4c649a46e0c4be9aca168658,Harlem Arcade,2111,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
11,Mott Haven,4c649a46e0c4be9aca168658,Harlem Arcade,2403,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
233,Little Italy,4cbf45eb28d176b0b0ef226e,Moto Arcade,262,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
238,Soho,4cbf45eb28d176b0b0ef226e,Moto Arcade,349,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
208,Greenwich Village,4cbf45eb28d176b0b0ef226e,Moto Arcade,655,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
85,Chinatown,4cbf45eb28d176b0b0ef226e,Moto Arcade,695,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
322,Noho,4cbf45eb28d176b0b0ef226e,Moto Arcade,711,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
331,Civic Center,4cbf45eb28d176b0b0ef226e,Moto Arcade,1029,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
228,Tribeca,4cbf45eb28d176b0b0ef226e,Moto Arcade,1189,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
225,Lower East Side,4cbf45eb28d176b0b0ef226e,Moto Arcade,1390,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
219,East Village,4cbf45eb28d176b0b0ef226e,Moto Arcade,1396,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
251,West Village,4cbf45eb28d176b0b0ef226e,Moto Arcade,1640,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
284,Financial District,4cbf45eb28d176b0b0ef226e,Moto Arcade,2004,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
279,Battery Park City,4cbf45eb28d176b0b0ef226e,Moto Arcade,2022,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife
