Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
University Heights,5ac83d3b0f013c3cc9135100,Arcade Pizza,1612,1611 Saint Nicholas Ave,40.855221,-73.929559,4bf58dd8d48988d1ca941735,Pizza Place
University Heights,4d70445dcbc58cfad8686f72,Washington Heights Arcade and Bingo,2041,1422 Saint Nicholas Ave,40.849365234375,-73.93315124511719,4bf58dd8d48988d1f1931735,General Entertainment
University Heights,4eee04029911d70cb86f1d4c,Arca De Salvacion,425,1984 Jerome Ave,40.85223388671875,-73.90837860107422,4bf58dd8d48988d132941735,Church
Morris Heights,5ac83d3b0f013c3cc9135100,Arcade Pizza,1165,1611 Saint Nicholas Ave,40.855221,-73.929559,4bf58dd8d48988d1ca941735,Pizza Place
Morris Heights,4d70445dcbc58cfad8686f72,Washington Heights Arcade and Bingo,1146,1422 Saint Nicholas Ave,40.849365234375,-73.93315124511719,4bf58dd8d48988d1f1931735,General Entertainment
Morris Heights,4eee04029911d70cb86f1d4c,Arca De Salvacion,1066,1984 Jerome Ave,40.85223388671875,-73.90837860107422,4bf58dd8d48988d132941735,Church
Fordham,4eee04029911d70cb86f1d4c,Arca De Salvacion,1401,1984 Jerome Ave,40.85223388671875,-73.90837860107422,4bf58dd8d48988d132941735,Church
East Tremont,4eee04029911d70cb86f1d4c,Arca De Salvacion,2064,1984 Jerome Ave,40.85223388671875,-73.90837860107422,4bf58dd8d48988d132941735,Church
High  Bridge,5ac83d3b0f013c3cc9135100,Arcade Pizza,2090,1611 Saint Nicholas Ave,40.855221,-73.929559,4bf58dd8d48988d1ca941735,Pizza Place
High  Bridge,4d70445dcbc58cfad8686f72,Washington Heights Arcade and Bingo,1537,1422 Saint Nicholas Ave,40.849365234375,-73.93315124511719,4bf58dd8d48988d1f1931735,General Entertainment
High  Bridge,4eee04029911d70cb86f1d4c,Arca De Salvacion,2290,1984 Jerome Ave,40.85223388671875,-73.90837860107422,4bf58dd8d48988d132941735,Church
Mott Haven,4c649a46e0c4be9aca168658,Harlem Arcade,2403,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade
Belmont,4eee04029911d70cb86f1d4c,Arca De Salvacion,1769,1984 Jerome Ave,40.85223388671875,-73.90837860107422,4bf58dd8d48988d132941735,Church
Concourse,4eee04029911d70cb86f1d4c,Arca De Salvacion,2088,1984 Jerome Ave,40.85223388671875,-73.90837860107422,4bf58dd8d48988d132941735,Church
Bay Ridge,60ce1f287f4109105ca92fac,Brooklyn Games & Arcade,1822,6120,40.639884,-74.019625,4bf58dd8d48988d10b951735,Video Game Store
Bensonhurst,54d793c2498eae7f4aae9aa8,Arcade Roofing & Home Improvement,1089,No Address,40.60129484970218,-73.99678230285643,4bf58dd8d48988d130941735,Building
