,Venue_Distance,Category_ID,Category_Name,Venue_Rating
0,3,4bf58dd8d48988d124941735,Office,Not Rated
1,7,4bf58dd8d48988d124941735,Office,Not Rated
2,11,4bf58dd8d48988d105941735,Gym Pool,Not Rated
3,15,4bf58dd8d48988d176941735,Gym,7.6
4,24,4bf58dd8d48988d151941735,Taco Place,Not Rated
5,26,4bf58dd8d48988d112941735,Juice Bar,6.9
6,27,4bf58dd8d48988d130941735,Building,Not Rated
7,27,4e4c9077bd41f78e849722f9,Bike Rental / Bike Share,Not Rated
8,33,4bf58dd8d48988d124941735,Office,Not Rated
9,67,4bf58dd8d48988d124941735,Office,Not Rated
10,70,4bf58dd8d48988d124941735,Office,Not Rated
11,88,4bf58dd8d48988d130941735,Building,Not Rated
12,98,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
13,111,4bf58dd8d48988d124941735,Office,Not Rated
14,112,4bf58dd8d48988d1df941735,Bridge,Not Rated
15,115,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
16,171,4bf58dd8d48988d15b941735,Farm,7.8
17,261,4bf58dd8d48988d163941735,Park,9.2
18,2,4bf58dd8d48988d176941735,Gym,7.2
19,6,4bf58dd8d48988d124941735,Office,Not Rated
20,15,4bf58dd8d48988d1cc941735,Steakhouse,8.8
21,26,4bf58dd8d48988d10a951735,Bank,5.0
22,36,4bf58dd8d48988d130941735,Building,Not Rated
23,38,4bf58dd8d48988d112941735,Juice Bar,8.6
24,41,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
25,44,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
26,56,503287a291d4c4b30a586d65,Financial or Legal Service,Not Rated
27,61,5744ccdfe4b0c0459246b4c7,Child Care Service,Not Rated
28,63,4bf58dd8d48988d13d941735,High School,Not Rated
29,81,4bf58dd8d48988d130941735,Building,Not Rated
30,84,4bf58dd8d48988d112941735,Juice Bar,7.4
31,154,4bf58dd8d48988d110951735,Salon / Barbershop,8.8
32,1006,4bf58dd8d48988d129951735,Train Station,5.7
33,9,4bf58dd8d48988d165941735,Scenic Lookout,Not Rated
34,26,4bf58dd8d48988d130941735,Building,Not Rated
35,31,4bf58dd8d48988d177941735,Doctor's Office,Not Rated
36,51,4bf58dd8d48988d1e5941735,Dog Run,Not Rated
37,68,4bf58dd8d48988d118951735,Grocery Store,7.9
38,69,4bf58dd8d48988d1e0931735,Coffee Shop,8.5
39,69,4bf58dd8d48988d10f951735,Pharmacy,6.4
40,77,4bf58dd8d48988d119951735,Wine Shop,7.7
41,84,4c38df4de52ce0d596b336e1,Parking,Not Rated
42,99,52f2ab2ebcbc57f1066b8b4f,Bus Stop,Not Rated
43,108,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
44,111,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
45,125,4bf58dd8d48988d148941735,Donut Shop,6.2
46,127,4bf58dd8d48988d1cb941735,Food Truck,Not Rated
47,158,4bf58dd8d48988d130941735,Building,Not Rated
48,162,4bf58dd8d48988d118951735,Grocery Store,8.8
49,189,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
50,250,4bf58dd8d48988d1f6941735,Department Store,7.0
51,510,4bf58dd8d48988d148941735,Donut Shop,7.7
52,42,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
53,47,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
54,58,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
55,62,52f2ab2ebcbc57f1066b8b1f,Shipping Store,Not Rated
56,66,4bf58dd8d48988d146941735,Deli / Bodega,Not Rated
57,72,4eb1c0253b7b52c0e1adc2e9,Garden Center,Not Rated
58,80,4bf58dd8d48988d1c1941735,Mexican Restaurant,Not Rated
59,80,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
60,94,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant,Not Rated
61,128,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
62,130,4bf58dd8d48988d1e0931735,Coffee Shop,8.5
63,137,4e4c9077bd41f78e849722f9,Bike Rental / Bike Share,Not Rated
64,158,52f2ab2ebcbc57f1066b8b46,Supermarket,7.2
65,169,4bf58dd8d48988d102941735,Yoga Studio,Not Rated
66,182,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
67,216,4bf58dd8d48988d16a941735,Bakery,Not Rated
68,224,4bf58dd8d48988d1c4941735,Restaurant,Not Rated
69,230,4bf58dd8d48988d14a941735,Vietnamese Restaurant,Not Rated
70,231,4bf58dd8d48988d146941735,Deli / Bodega,Not Rated
71,281,4bf58dd8d48988d116941735,Bar,7.7
72,2,5453de49498eade8af355881,Business Service,Not Rated
73,3,4bf58dd8d48988d16d941735,Café,5.8
74,7,4bf58dd8d48988d124941735,Office,Not Rated
75,7,4bf58dd8d48988d112951735,Hardware Store,Not Rated
76,10,4bf58dd8d48988d125941735,Tech Startup,Not Rated
77,12,503287a291d4c4b30a586d65,Financial or Legal Service,Not Rated
78,13,4bf58dd8d48988d123951735,Smoke Shop,Not Rated
79,14,4bf58dd8d48988d124941735,Office,Not Rated
80,20,4bf58dd8d48988d116941735,Bar,6.9
81,21,4bf58dd8d48988d104941735,Medical Center,Not Rated
82,22,4bf58dd8d48988d1ff941735,Miscellaneous Shop,Not Rated
83,23,54541900498ea6ccd0202697,Health & Beauty Service,7.4
84,26,4bf58dd8d48988d125941735,Tech Startup,Not Rated
85,27,4bf58dd8d48988d125941735,Tech Startup,Not Rated
86,33,4bf58dd8d48988d177941735,Doctor's Office,Not Rated
87,36,52f2ab2ebcbc57f1066b8b1f,Shipping Store,6.4
88,40,4bf58dd8d48988d124941735,Office,Not Rated
89,66,559acbe0498e472f1a53fa23,Erotic Museum,7.4
90,220,4bf58dd8d48988d101941735,Martial Arts School,Not Rated
91,270,4bf58dd8d48988d163941735,Park,9.4
92,5,4f04aa0c2fb6e1c99f3db0b8,Nail Salon,Not Rated
93,33,4bf58dd8d48988d146941735,Deli / Bodega,Not Rated
94,43,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
95,54,4f4533804b9074f6e4fb0105,Elementary School,Not Rated
96,59,4f4533804b9074f6e4fb0105,Elementary School,Not Rated
97,86,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
98,102,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
99,124,4bf58dd8d48988d144941735,Caribbean Restaurant,Not Rated
100,134,4bf58dd8d48988d16a941735,Bakery,8.1
101,161,4bf58dd8d48988d16d941735,Café,Not Rated
102,175,4bf58dd8d48988d15a941735,Garden,Not Rated
103,185,4bf58dd8d48988d1e0931735,Coffee Shop,8.1
104,186,4bf58dd8d48988d197941735,College Administrative Building,Not Rated
105,192,4bf58dd8d48988d11e941735,Cocktail Bar,8.4
106,193,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
107,196,4bf58dd8d48988d12b951735,Bus Line,Not Rated
108,233,4d4ae6fc7a7b7dea34424761,Fried Chicken Joint,Not Rated
109,235,4bf58dd8d48988d124941735,Office,Not Rated
110,240,4bf58dd8d48988d10b941735,Falafel Restaurant,Not Rated
111,457,4bf58dd8d48988d12b951735,Bus Line,Not Rated
112,7,4bf58dd8d48988d1e0931735,Coffee Shop,5.7
113,8,4bf58dd8d48988d124941735,Office,Not Rated
114,8,4bf58dd8d48988d171941735,Event Space,Not Rated
115,9,4bf58dd8d48988d124941735,Office,Not Rated
116,11,4bf58dd8d48988d164941735,Plaza,Not Rated
117,13,4bf58dd8d48988d171941735,Event Space,Not Rated
118,13,4bf58dd8d48988d1ca941735,Pizza Place,Not Rated
119,15,4bf58dd8d48988d124941735,Office,Not Rated
120,18,4bf58dd8d48988d124941735,Office,Not Rated
121,24,4bf58dd8d48988d124941735,Office,Not Rated
122,24,52f2ab2ebcbc57f1066b8b4f,Bus Stop,Not Rated
123,31,4bf58dd8d48988d124941735,Office,Not Rated
124,33,4bf58dd8d48988d174941735,Coworking Space,Not Rated
125,40,4bf58dd8d48988d176941735,Gym,Not Rated
126,42,4bf58dd8d48988d11e941735,Cocktail Bar,Not Rated
127,51,4bf58dd8d48988d104951735,Boutique,Not Rated
128,84,4bf58dd8d48988d1fa931735,Hotel,Not Rated
129,208,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
130,245,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
