Borough,Borough_Lat,Borough_Lng,Neighborhood,Hood_Lat,Hood_Lng
Bronx,40.8466508,-73.8785937,Wakefield,40.89470517661,-73.84720052054902
Bronx,40.8466508,-73.8785937,Co-op City,40.87429419303012,-73.82993910812398
Bronx,40.8466508,-73.8785937,Eastchester,40.887555677350775,-73.82780644716412
Bronx,40.8466508,-73.8785937,Fieldston,40.89543742690383,-73.90564259591682
Bronx,40.8466508,-73.8785937,Riverdale,40.890834493891305,-73.9125854610857
Bronx,40.8466508,-73.8785937,Kingsbridge,40.88168737120521,-73.90281798724604
Manhattan,40.7896239,-73.9598939,Marble Hill,40.87655077879964,-73.91065965862981
Bronx,40.8466508,-73.8785937,Woodlawn,40.89827261213805,-73.86731496814176
Bronx,40.8466508,-73.8785937,Norwood,40.87722415599446,-73.8793907395681
Bronx,40.8466508,-73.8785937,Williamsbridge,40.88103887819211,-73.85744642974207
Bronx,40.8466508,-73.8785937,Baychester,40.866858107252696,-73.83579759808117
Bronx,40.8466508,-73.8785937,Pelham Parkway,40.85741349808865,-73.85475564017999
Bronx,40.8466508,-73.8785937,City Island,40.84724670491813,-73.78648845267413
Bronx,40.8466508,-73.8785937,Bedford Park,40.870185164975325,-73.8855121841913
Bronx,40.8466508,-73.8785937,University Heights,40.85572707719664,-73.9104159619131
Bronx,40.8466508,-73.8785937,Morris Heights,40.84789792606271,-73.91967159119565
Bronx,40.8466508,-73.8785937,Fordham,40.86099679638654,-73.89642655981623
Bronx,40.8466508,-73.8785937,East Tremont,40.84269615786053,-73.88735617532338
Bronx,40.8466508,-73.8785937,West Farms,40.83947505672653,-73.87774474910545
Bronx,40.8466508,-73.8785937,High  Bridge,40.836623010706056,-73.9261020935813
Bronx,40.8466508,-73.8785937,Melrose,40.819754370594936,-73.90942160757436
Bronx,40.8466508,-73.8785937,Mott Haven,40.80623874935177,-73.91609987487575
Bronx,40.8466508,-73.8785937,Port Morris,40.801663627756206,-73.91322139386135
Bronx,40.8466508,-73.8785937,Longwood,40.81509904545822,-73.8957882009446
Bronx,40.8466508,-73.8785937,Hunts Point,40.80972987938709,-73.88331505955291
Bronx,40.8466508,-73.8785937,Morrisania,40.82359198585534,-73.90150648943059
Bronx,40.8466508,-73.8785937,Soundview,40.821012197914015,-73.86574609554924
Bronx,40.8466508,-73.8785937,Clason Point,40.80655112003589,-73.85414416189266
Bronx,40.8466508,-73.8785937,Throgs Neck,40.81510925804005,-73.81635002158441
Bronx,40.8466508,-73.8785937,Country Club,40.844245936947374,-73.8240992675385
Bronx,40.8466508,-73.8785937,Parkchester,40.837937822267286,-73.85600310535783
Bronx,40.8466508,-73.8785937,Westchester Square,40.8406194964327,-73.84219407604444
Bronx,40.8466508,-73.8785937,Van Nest,40.84360847124718,-73.8662991807561
Bronx,40.8466508,-73.8785937,Morris Park,40.847549063536334,-73.85040178030421
Bronx,40.8466508,-73.8785937,Belmont,40.85727710073895,-73.88845196134804
Bronx,40.8466508,-73.8785937,Spuyten Duyvil,40.88139497727086,-73.91719048210393
Bronx,40.8466508,-73.8785937,North Riverdale,40.90854282950666,-73.90453054908927
Bronx,40.8466508,-73.8785937,Pelham Bay,40.85064140940335,-73.8320737824047
Bronx,40.8466508,-73.8785937,Schuylerville,40.82657951686922,-73.82620275994073
Bronx,40.8466508,-73.8785937,Edgewater Park,40.821986118163494,-73.81388514428619
Bronx,40.8466508,-73.8785937,Castle Hill,40.819014376988314,-73.84802729582735
Bronx,40.8466508,-73.8785937,Olinville,40.87137078192371,-73.86332361652777
Bronx,40.8466508,-73.8785937,Pelham Gardens,40.86296562477998,-73.84161194831223
Bronx,40.8466508,-73.8785937,Concourse,40.83428380733851,-73.91558941773444
Bronx,40.8466508,-73.8785937,Unionport,40.82977429787161,-73.85053524451935
Bronx,40.8466508,-73.8785937,Edenwald,40.88456130303732,-73.84808271877168
Brooklyn,40.6501038,-73.9495823,Bay Ridge,40.625801065010656,-74.03062069353813
Brooklyn,40.6501038,-73.9495823,Bensonhurst,40.61100890202044,-73.99517998380729
Brooklyn,40.6501038,-73.9495823,Sunset Park,40.64510294925429,-74.01031618527784
Brooklyn,40.6501038,-73.9495823,Greenpoint,40.7302009848647,-73.95424093127393
Brooklyn,40.6501038,-73.9495823,Gravesend,40.59526001306593,-73.97347087708445
Brooklyn,40.6501038,-73.9495823,Brighton Beach,40.57682506566604,-73.96509448785336
Brooklyn,40.6501038,-73.9495823,Sheepshead Bay,40.58689012678384,-73.94318640482979
Brooklyn,40.6501038,-73.9495823,Manhattan Terrace,40.61443251335098,-73.95743840559939
Brooklyn,40.6501038,-73.9495823,Flatbush,40.63632589026677,-73.95840106533903
Brooklyn,40.6501038,-73.9495823,Crown Heights,40.67082917695294,-73.94329119073582
Brooklyn,40.6501038,-73.9495823,East Flatbush,40.64171776668961,-73.93610256185836
Brooklyn,40.6501038,-73.9495823,Kensington,40.642381958003526,-73.98042110559474
Brooklyn,40.6501038,-73.9495823,Windsor Terrace,40.65694583575104,-73.98007340430172
Brooklyn,40.6501038,-73.9495823,Prospect Heights,40.676822262254724,-73.9648592426269
Brooklyn,40.6501038,-73.9495823,Brownsville,40.66394994339755,-73.91023536176607
Brooklyn,40.6501038,-73.9495823,Williamsburg,40.70714439344251,-73.95811529220927
Brooklyn,40.6501038,-73.9495823,Bushwick,40.69811611017901,-73.92525797487045
Brooklyn,40.6501038,-73.9495823,Bedford Stuyvesant,40.687231607720456,-73.94178488690297
Brooklyn,40.6501038,-73.9495823,Brooklyn Heights,40.695863722724084,-73.99378225496424
Brooklyn,40.6501038,-73.9495823,Cobble Hill,40.687919722485574,-73.99856139218463
Brooklyn,40.6501038,-73.9495823,Carroll Gardens,40.680540231076485,-73.99465372828006
Brooklyn,40.6501038,-73.9495823,Red Hook,40.676253230250886,-74.0127589747356
Brooklyn,40.6501038,-73.9495823,Gowanus,40.673931143187154,-73.99444087145339
Brooklyn,40.6501038,-73.9495823,Fort Greene,40.68852726018977,-73.97290574369092
Brooklyn,40.6501038,-73.9495823,Park Slope,40.67232052268197,-73.97705030183924
Brooklyn,40.6501038,-73.9495823,Cypress Hills,40.68239101144211,-73.87661596457296
Brooklyn,40.6501038,-73.9495823,East New York,40.669925700847045,-73.88069863917366
