,City,Arcade,Venue_ID,Venue_Name,Venue_Address
0,"Atlanta, GA",2 Water Street - Arcade,4dd18693ae60fb3f53acb7a7,NYC HHC Office,33 Whitehall St
1,"Atlanta, GA",2 Water Street - Arcade,59b1aae02e26805019543ab8,Continental Stock Transfer & Trust,1 State St
2,"Atlanta, GA",2 Water Street - Arcade,5c50c0c13731ee002c8cbb6e,Pool @ Whitehall Nyhrc,No Address
3,"Atlanta, GA",2 Water Street - Arcade,4acd4277f964a52099cb20e3,New York Health & Racquet Club,39 Whitehall St
4,"Atlanta, GA",2 Water Street - Arcade,610422c76e509940e45d9cc8,El Omal,Water St
5,"Atlanta, GA",2 Water Street - Arcade,4be2c7d1f07b0f47aa27f643,The Juice Truck,Whitehall St
6,"Atlanta, GA",2 Water Street - Arcade,4b81712ff964a52041a630e3,2 Water Street,2 Water St
7,"Atlanta, GA",2 Water Street - Arcade,5dc95e1e61f86c000845f774,Citibike Station,Water - Whitehall Plaza
8,"Atlanta, GA",2 Water Street - Arcade,523706fa11d25eb29ab14c95,Sterling Infosystems,1 State St
9,"Atlanta, GA",2 Water Street - Arcade,4ae707bef964a52007a821e3,SourceMedia,1 State St
10,"Atlanta, GA",2 Water Street - Arcade,4cd1cafcfd42199cd1a2c56e,Davis Brody Bond,1 New York Plz
11,"Atlanta, GA",2 Water Street - Arcade,4b3a50c6f964a520796425e3,One New York Plaza,1 New York Plz
12,"Atlanta, GA",2 Water Street - Arcade,4b466b09f964a520452026e3,MTA Subway - South Ferry (1),South Ferry
13,"Atlanta, GA",2 Water Street - Arcade,4c114a38d917c9280379b562,1 State Street,1 State St
14,"Atlanta, GA",2 Water Street - Arcade,4eb941579a52ad1e408b608c,South Street,No Address
15,"Atlanta, GA",2 Water Street - Arcade,4b435e5ef964a52009df25e3,MTA Subway - Whitehall St (R/W),Whitehall St
16,"Atlanta, GA",2 Water Street - Arcade,4da2fe95c6e96ea8a3a9df5d,Urban Farm at Battery Park,Battery Park
17,"Atlanta, GA",2 Water Street - Arcade,42daf100f964a52035261fe3,Battery Park,Battery Pl
18,"Atlanta, GA",5th ave. arcade inc.,4b364e18f964a520893225e3,Boom Fitness,4 Park Ave
19,"Atlanta, GA",5th ave. arcade inc.,4c53005e048b1b8d54fb5331,Vizeum,No Address
