,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
3,University District ,4af30888f964a520f5e921e3,4518 Arcade,59,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
61,Stevens,4af30888f964a520f5e921e3,4518 Arcade,860,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
4,University Village,4af30888f964a520f5e921e3,4518 Arcade,1069,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
7,Northlake,4af30888f964a520f5e921e3,4518 Arcade,1180,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
204,Central Area,4af30888f964a520f5e921e3,4518 Arcade,1517,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
6,Wallingford,4af30888f964a520f5e921e3,4518 Arcade,1612,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
1,Roosevelt,4af30888f964a520f5e921e3,4518 Arcade,1722,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
49,Portage Bay,4af30888f964a520f5e921e3,4518 Arcade,1859,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
2,Ravenna,4af30888f964a520f5e921e3,4518 Arcade,1927,4518 University Way NE,47.66183599068261,-122.3131209770191,4bf58dd8d48988d124941735,Office
33,Lower Queen Anne,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,473,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
127,Belltown,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1066,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
76,South Lake Union,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1533,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
188,Central Waterfront,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1737,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
99,Westlake,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1751,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
117,Denny Triangle,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1761,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
87,Cascade,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1825,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
213,Mann,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1833,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
148,Central Business District,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1861,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
201,West Edge,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1992,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
223,Minor,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,2107,3150 Elliott Ave,47.618242,-122.35747,4bf58dd8d48988d1e1931735,Arcade
252,Highland Park,4dbf6f1e6a23e5a549d6141b,SanTe's Arcade,752,No Address,47.524985,-122.36124099999999,4bf58dd8d48988d1e1931735,Arcade
253,Roxhill,4dbf6f1e6a23e5a549d6141b,SanTe's Arcade,754,No Address,47.524985,-122.36124099999999,4bf58dd8d48988d1e1931735,Arcade
251,Riverview,4dbf6f1e6a23e5a549d6141b,SanTe's Arcade,1841,No Address,47.524985,-122.36124099999999,4bf58dd8d48988d1e1931735,Arcade
254,High Point,4dbf6f1e6a23e5a549d6141b,SanTe's Arcade,1928,No Address,47.524985,-122.36124099999999,4bf58dd8d48988d1e1931735,Arcade
250,Arbor Heights,4dbf6f1e6a23e5a549d6141b,SanTe's Arcade,2024,No Address,47.524985,-122.36124099999999,4bf58dd8d48988d1e1931735,Arcade
248,Gatewood,4dbf6f1e6a23e5a549d6141b,SanTe's Arcade,2221,No Address,47.524985,-122.36124099999999,4bf58dd8d48988d1e1931735,Arcade
