Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
Olympic Hills,578cabc2498e2cf4c49feb3d,ShopsArcade,1598,15218 12th Ave NE,47.73942947387695,-122.3150634765625,4bf58dd8d48988d1f6941735,Department Store
Roosevelt,4af30888f964a520f5e921e3,4518 Arcade,1722,4518 University Way NE,47.661835990682604,-122.3131209770191,4bf58dd8d48988d124941735,Office
Ravenna,4af30888f964a520f5e921e3,4518 Arcade,1927,4518 University Way NE,47.661835990682604,-122.3131209770191,4bf58dd8d48988d124941735,Office
University District ,4af30888f964a520f5e921e3,4518 Arcade,59,4518 University Way NE,47.661835990682604,-122.3131209770191,4bf58dd8d48988d124941735,Office
University Village,4af30888f964a520f5e921e3,4518 Arcade,1069,4518 University Way NE,47.661835990682604,-122.3131209770191,4bf58dd8d48988d124941735,Office
Wallingford,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1740,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
Wallingford,4af30888f964a520f5e921e3,4518 Arcade,1612,4518 University Way NE,47.661835990682604,-122.3131209770191,4bf58dd8d48988d124941735,Office
Northlake,4af30888f964a520f5e921e3,4518 Arcade,1180,4518 University Way NE,47.661835990682604,-122.3131209770191,4bf58dd8d48988d124941735,Office
Fremont,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,399,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
Fremont,5a6a65f642d8c2036ccf8098,Ice Box,1520,615 NW Bright St,47.659821,-122.364749,4bf58dd8d48988d1e1931735,Arcade
Phinney Ridge,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,2237,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
Phinney Ridge,5a6a65f642d8c2036ccf8098,Ice Box,1588,615 NW Bright St,47.659821,-122.364749,4bf58dd8d48988d1e1931735,Arcade
Ballard,597be97e58aa7f16eb83d768,Portal Virtual Reality Arcade,959,2601 NW Market St,47.66838836669922,-122.39053344726562,4bf58dd8d48988d1e1931735,Arcade
Ballard,5a6a65f642d8c2036ccf8098,Ice Box,2458,615 NW Bright St,47.659821,-122.364749,4bf58dd8d48988d1e1931735,Arcade
West Woodland,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1938,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
West Woodland,5a6a65f642d8c2036ccf8098,Ice Box,1476,615 NW Bright St,47.659821,-122.364749,4bf58dd8d48988d1e1931735,Arcade
Whittier Heights,597be97e58aa7f16eb83d768,Portal Virtual Reality Arcade,2191,2601 NW Market St,47.66838836669922,-122.39053344726562,4bf58dd8d48988d1e1931735,Arcade
Sunset Hill,597be97e58aa7f16eb83d768,Portal Virtual Reality Arcade,964,2601 NW Market St,47.66838836669922,-122.39053344726562,4bf58dd8d48988d1e1931735,Arcade
Loyal Heights,597be97e58aa7f16eb83d768,Portal Virtual Reality Arcade,2269,2601 NW Market St,47.66838836669922,-122.39053344726562,4bf58dd8d48988d1e1931735,Arcade
Central Seattle,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1387,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Central Seattle,4be474332468c92898ccfe42,Arcade Smoke Shop,2457,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Central Seattle,50fa31bae4b020b5559a65cc,Lipton's Arcade,1893,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Lawton Park,597be97e58aa7f16eb83d768,Portal Virtual Reality Arcade,1528,2601 NW Market St,47.66838836669922,-122.39053344726562,4bf58dd8d48988d1e1931735,Arcade
Interbay,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,2048,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
Queen Anne,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1468,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
Queen Anne,5064c506e4b06062642548ae,Next 50 Video Arcade,2164,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
Queen Anne,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,2161,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
North Queen Anne,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1468,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
North Queen Anne,5064c506e4b06062642548ae,Next 50 Video Arcade,2164,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
North Queen Anne,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,2161,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
East Queen Anne,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,650,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
East Queen Anne,5a6a65f642d8c2036ccf8098,Ice Box,1773,615 NW Bright St,47.659821,-122.364749,4bf58dd8d48988d1e1931735,Arcade
Lower Queen Anne,5064c506e4b06062642548ae,Next 50 Video Arcade,390,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
Lower Queen Anne,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,473,3150 Elliott Ave,47.618241999999995,-122.35746999999999,4bf58dd8d48988d1e1931735,Arcade
Lower Queen Anne,4e8fac6c8b81c6df65663ca0,Arcade lights,1749,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Lower Queen Anne,4be474332468c92898ccfe42,Arcade Smoke Shop,1928,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Lower Queen Anne,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,1506,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Lower Queen Anne,59af34d64a7aae7ed5080133,Klondike Arcade,2117,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Lower Queen Anne,50fa31bae4b020b5559a65cc,Lipton's Arcade,2210,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Lower Queen Anne,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,387,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
Lower Queen Anne,59aa49a55a2c9117f347da63,Taco Bell,1234,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
