,Venue_Distance,Category_ID,Category_Name,Venue_Rating
0,5,4bf58dd8d48988d1c9941735,Ice Cream Shop,Not Rated
1,5,4bf58dd8d48988d1de931735,Tattoo Parlor,7.7
2,7,55a59bace4b013909087cb2a,Udon Restaurant,7.7
3,13,4bf58dd8d48988d1df931735,BBQ Joint,Not Rated
4,16,4bf58dd8d48988d16c941735,Burger Joint,Not Rated
5,21,4bf58dd8d48988d145941735,Chinese Restaurant,7.8
6,21,52e81612bcbc57f1066b7a0c,Bubble Tea Shop,Not Rated
7,21,4bf58dd8d48988d1fe931735,Bus Station,Not Rated
8,22,52e81612bcbc57f1066b7a0c,Bubble Tea Shop,6.3
9,25,4bf58dd8d48988d113941735,Korean Restaurant,7.7
10,27,52e81612bcbc57f1066b7a0c,Bubble Tea Shop,7.8
11,28,4bf58dd8d48988d10c951735,Cosmetics Shop,Not Rated
12,29,4bf58dd8d48988d113941735,Korean Restaurant,5.5
13,29,52af3b773cf9994f4e043c03,Szechuan Restaurant,Not Rated
14,29,4bf58dd8d48988d1dc931735,Tea Room,7.9
15,30,4bf58dd8d48988d1c5941735,Sandwich Place,7.0
16,31,4bf58dd8d48988d145941735,Chinese Restaurant,Not Rated
17,45,4bf58dd8d48988d103951735,Clothing Store,5.4
18,47,4bf58dd8d48988d1df931735,BBQ Joint,Not Rated
19,86,4bf58dd8d48988d149941735,Thai Restaurant,8.2
20,10,4bf58dd8d48988d125941735,Tech Startup,Not Rated
21,13,4bf58dd8d48988d1fe941735,Music Store,Not Rated
22,14,4bf58dd8d48988d116941735,Bar,Not Rated
23,16,4bf58dd8d48988d1cb941735,Food Truck,8.4
24,23,4bf58dd8d48988d123951735,Smoke Shop,Not Rated
25,24,4bf58dd8d48988d124941735,Office,Not Rated
26,26,4bf58dd8d48988d12b951735,Bus Line,Not Rated
27,35,4bf58dd8d48988d171941735,Event Space,Not Rated
28,39,4bf58dd8d48988d1e2931735,Art Gallery,6.2
29,42,4bf58dd8d48988d125941735,Tech Startup,Not Rated
