Within larger district,Neighborhood name,area_longitude,area_latitude,hood_longitude,hood_latitude
Seattle,North Seattle,-122.3398649,47.6020234,-122.29145496064257,47.590054550000005
North Seattle,Broadview,-122.29145496064257,47.590054550000005,-122.3604067,47.7223199
North Seattle,Bitter Lake,-122.29145496064257,47.590054550000005,-122.3487639,47.7262358
North Seattle,North Beach ,-122.29145496064257,47.590054550000005,-122.392362,47.6962103
North Seattle,Crown Hill,-122.29145496064257,47.590054550000005,-122.3714586,47.6947154
North Seattle,Greenwood,-122.29145496064257,47.590054550000005,-122.3548773,47.6909806
North Seattle,Northgate,-122.29145496064257,47.590054550000005,-122.3212307,47.7131534
Northgate,Haller Lake,-122.3212307,47.7131534,-122.33375132229858,47.7197478
Northgate,Pinehurst,-122.3212307,47.7131534,-122.31554228404718,47.712876550000004
Northgate,North College Park,-122.3212307,47.7131534,No Data Found,No Data Found
Northgate,Maple Leaf,-122.3212307,47.7131534,-122.322905,47.6939869
North Seattle,Lake City,-122.29145496064257,47.590054550000005,-122.2954939,47.7191619
Lake City,Cedar Park,-122.2954939,47.7191619,-122.2859597,47.7256535
Lake City,Matthews Beach,-122.2954939,47.7191619,-122.27272363041745,47.69692655
Lake City,Meadowbrook,-122.2954939,47.7191619,-122.28783896052913,47.70586305
Lake City,Olympic Hills,-122.2954939,47.7191619,-122.2991,47.7299
Lake City,Victory Heights,-122.2954939,47.7191619,-122.3076269,47.707598
North Seattle,Wedgwood,-122.29145496064257,47.590054550000005,-122.2905745,47.690221
North Seattle,View Ridge,-122.29145496064257,47.590054550000005,-122.2740144,47.6795427
North Seattle,Sand Point,-122.29145496064257,47.590054550000005,-122.2643122,47.6823594
North Seattle,Roosevelt,-122.29145496064257,47.590054550000005,-122.31380709605568,47.6773046
North Seattle,Ravenna,-122.29145496064257,47.590054550000005,-122.2976262,47.6756537
North Seattle,Bryant,-122.29145496064257,47.590054550000005,-122.28349345639771,47.6752333
North Seattle,Windermere,-122.29145496064257,47.590054550000005,-122.2617917,47.6709318
Windermere,Hawthorne Hills,-122.2617917,47.6709318,-122.2758411,47.6720669
North Seattle,Laurelhurst,-122.29145496064257,47.590054550000005,-122.2770698,47.6634317
North Seattle,University District ,-122.29145496064257,47.590054550000005,-122.3131523,47.6612984
Ravenna,University Village,-122.2976262,47.6756537,-122.29892295657088,47.6627401
North Seattle,Wallingford,-122.29145496064257,47.590054550000005,-122.3343417,47.6594631
Lake Union ,Northlake,-122.33555809202913,47.63991865,-122.32427647495692,47.654349350000004
North Seattle,Green Lake,-122.29145496064257,47.590054550000005,-122.33854871086325,47.67828405
North Seattle,Fremont,-122.29145496064257,47.590054550000005,-122.3499861,47.6504529
North Seattle,Phinney Ridge,-122.29145496064257,47.590054550000005,-122.3540306,47.6721306
North Seattle,Ballard,-122.29145496064257,47.590054550000005,-122.3862233,47.6765073
Ballard,West Woodland,-122.3862233,47.6765073,-122.35090920936102,47.6692585
Ballard,Whittier Heights,-122.3862233,47.6765073,-122.3714487,47.683297
Ballard,Adams,-122.3862233,47.6765073,-122.2974962,47.5647813
Ballard,Sunset Hill,-122.3862233,47.6765073,-122.3984484,47.6752172
Ballard,Loyal Heights,-122.3862233,47.6765073,-122.3929073,47.6887088
Seattle,Central Seattle,-122.3398649,47.6020234,-122.3032046119853,47.612693750000005
Central Seattle,Magnolia,-122.3032046119853,47.612693750000005,-122.399489,47.6468106
Magnolia,Lawton Park,-122.399489,47.6468106,-122.4002959,47.6563294
Magnolia,Briarcliff,-122.399489,47.6468106,-122.40761211983732,47.6481511
Magnolia,Southeast Magnolia,-122.399489,47.6468106,-122.399489,47.6468106
Central Seattle,Interbay,-122.3032046119853,47.612693750000005,-122.3763394,47.6407418
