,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
0,4518 Arcade,5e23b504daee0b0008f60baa,Sugar+Spoon Cookie Dough,5,No Address,47.66179,-122.313146,4bf58dd8d48988d1c9941735,Ice Cream Shop,Not Rated
1,4518 Arcade,4b58fe5ff964a5205e7728e3,Deep Roots Tattoo & Body Piercing,5,4517 University Way NE,47.66180556784894,-122.31318357028371,4bf58dd8d48988d1de931735,Tattoo Parlor,7.7
2,4518 Arcade,4ef5323b77c8e9126478ff6f,U:DON Fresh Japanese Noodle Station,7,4515 University Way NE,47.661795486804216,-122.3131942154418,55a59bace4b013909087cb2a,Udon Restaurant,7.7
3,4518 Arcade,5d3cad7742d74c0008eb3ea9,DL B.B.Q.,13,4520 the ave,47.661947,-122.313203,4bf58dd8d48988d1df931735,BBQ Joint,Not Rated
4,4518 Arcade,5a5f9be231ac6c6dbfc68220,Just Burgers,16,4510 University Way NE,47.6618612257329,-122.31290996074677,4bf58dd8d48988d16c941735,Burger Joint,Not Rated
5,4518 Arcade,5abb2319b040560b822d9633,Taste of Xi'an,21,4523 University Way NE,47.66195707272306,-122.31333743786145,4bf58dd8d48988d145941735,Chinese Restaurant,7.8
6,4518 Arcade,5f0e45adc5d2fb4660d1b12e,Don't Yell At Me 不要對我尖叫,21,4511 University Way NE,47.661674,-122.31327,52e81612bcbc57f1066b7a0c,Bubble Tea Shop,Not Rated
7,4518 Arcade,4c37a5ae93db0f47db2f2092,Metro Bus Stop #9584,21,University Way NE & NE 45th St,47.66202032502236,-122.31319627831051,4bf58dd8d48988d1fe931735,Bus Station,Not Rated
8,4518 Arcade,435c2400f964a5200a291fe3,Yunnie Bubble Tea,22,4511 University Way NE,47.661647247509464,-122.31322107798714,52e81612bcbc57f1066b7a0c,Bubble Tea Shop,6.3
9,4518 Arcade,59c14ab61ffed75cd77ec327,Chi Mac,25,4525 University Way NE,47.66204401402561,-122.31325627284023,4bf58dd8d48988d113941735,Korean Restaurant,7.7
